33.950327,  -83.380366
Cole Madray
Stephanie Petros
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-5 7:23:51, 668.95, 16.89, 62.41, 0.06, 0.04
2015-11-5 7:33:51, 668.95, 16.89, 62.41, 0.02, 0.04
2015-11-5 7:43:52, 673.83, 17.38, 63.29, 0.00, 0.04
2015-11-5 7:53:53, 673.83, 17.38, 63.29, 0.05, 0.04
2015-11-5 8:03:54, 668.95, 16.89, 62.41, 0.01, 0.03
2015-11-5 8:13:55, 668.95, 16.89, 62.41, 0.03, 0.03
2015-11-5 8:23:56, 664.06, 16.41, 61.53, 0.05, 0.04
2015-11-5 8:33:57, 664.06, 16.41, 61.53, 0.00, 0.03
2015-11-5 8:43:58, 668.95, 16.89, 62.41, 0.06, 0.03
2015-11-5 8:53:59, 668.95, 16.89, 62.41, 0.02, 0.03
2015-11-5 9:04:00, 668.95, 16.89, 62.41, 0.08, 0.04
2015-11-5 9:14:01, 668.95, 16.89, 62.41, 0.02, 0.04
2015-11-5 9:24:02, 678.71, 17.87, 64.17, 0.13, 0.04
2015-11-5 9:34:03, 683.59, 18.36, 65.05, 0.00, 0.04
2015-11-5 9:44:04, 683.59, 18.36, 65.05, 0.01, 0.04
2015-11-5 9:54:04, 683.59, 18.36, 65.05, 0.00, 0.03
2015-11-5 10:04:05, 683.59, 18.36, 65.05, 0.06, 0.04
2015-11-5 10:14:06, 683.59, 18.36, 65.05, 0.00, 0.03
2015-11-5 10:24:07, 678.71, 17.87, 64.17, 0.08, 0.04
2015-11-5 10:34:07, 678.71, 17.87, 64.17, 0.03, 0.04
2015-11-5 10:44:08, 683.59, 18.36, 65.05, 0.02, 0.04
2015-11-5 10:54:09, 678.71, 17.87, 64.17, 0.02, 0.03
2015-11-5 11:04:09, 683.59, 18.36, 65.05, 0.03, 0.03
2015-11-5 11:14:10, 678.71, 17.87, 64.17, 0.07, 0.04
2015-11-5 11:24:11, 678.71, 17.87, 64.17, 0.03, 0.04
2015-11-5 11:34:12, 683.59, 18.36, 65.05, 0.00, 0.03
2015-11-5 11:44:13, 683.59, 18.36, 65.05, 0.03, 0.03
2015-11-5 11:54:14, 683.59, 18.36, 65.05, 0.01, 0.03
2015-11-5 12:04:15, 683.59, 18.36, 65.05, 0.04, 0.03
2015-11-5 12:14:16, 688.48, 18.85, 65.93, 0.02, 0.03
2015-11-5 12:24:16, 688.48, 18.85, 65.93, 0.10, 0.04
2015-11-5 12:34:17, 683.59, 18.36, 65.05, 0.01, 0.03
2015-11-5 12:44:18, 688.48, 18.85, 65.93, 0.01, 0.03
2015-11-5 12:54:19, 688.48, 18.85, 65.93, 0.02, 0.03
2015-11-5 13:04:19, 698.24, 19.82, 67.68, 0.02, 0.03
2015-11-5 13:14:21, 688.48, 18.85, 65.93, 0.06, 0.03
2015-11-5 13:24:22, 688.48, 18.85, 65.93, 0.00, 0.03
2015-11-5 13:34:22, 698.24, 19.82, 67.68, 0.00, 0.03
2015-11-5 13:44:23, 698.24, 19.82, 67.68, 0.00, 0.02
2015-11-5 13:54:25, 698.24, 19.82, 67.68, 0.03, 0.02
2015-11-5 14:04:26, 698.24, 19.82, 67.68, 0.02, 0.02
2015-11-5 14:14:27, 698.24, 19.82, 67.68, 0.00, 0.02
2015-11-5 14:24:28, 703.13, 20.31, 68.56, 0.03, 0.02
2015-11-5 14:34:29, 693.36, 19.34, 66.80, 0.00, 0.02
2015-11-5 14:44:30, 693.36, 19.34, 66.80, 0.00, 0.02
2015-11-5 14:54:31, 693.36, 19.34, 66.80, 0.02, 0.02
2015-11-5 15:04:32, 693.36, 19.34, 66.80, 0.01, 0.02
2015-11-5 15:14:32, 693.36, 19.34, 66.80, 0.05, 0.02
2015-11-5 15:24:34, 688.48, 18.85, 65.93, 0.04, 0.02
2015-11-5 15:34:34, 688.48, 18.85, 65.93, 0.01, 0.02
2015-11-5 15:44:35, 693.36, 19.34, 66.80, 0.04, 0.02
2015-11-5 15:54:35, 683.59, 18.36, 65.05, 0.00, 0.02
2015-11-5 16:04:36, 683.59, 18.36, 65.05, 0.03, 0.02
2015-11-5 16:14:37, 683.59, 18.36, 65.05, 0.04, 0.02
2015-11-5 16:24:37, 678.71, 17.87, 64.17, 0.02, 0.02
2015-11-5 16:34:37, 678.71, 17.87, 64.17, 0.06, 0.03
2015-11-5 16:44:38, 673.83, 17.38, 63.29, 0.02, 0.03
2015-11-5 16:54:39, 683.59, 18.36, 65.05, 0.02, 0.03
2015-11-5 17:04:41, 683.59, 18.36, 65.05, 0.04, 0.03
2015-11-5 17:14:41, 678.71, 17.87, 64.17, 0.00, 0.03
2015-11-5 17:24:42, 678.71, 17.87, 64.17, 0.01, 0.02
2015-11-5 17:34:43, 683.59, 18.36, 65.05, 0.00, 0.02
2015-11-5 17:44:44, 678.71, 17.87, 64.17, 0.00, 0.02
2015-11-5 17:54:45, 678.71, 17.87, 64.17, 0.00, 0.02
2015-11-5 18:04:46, 678.71, 17.87, 64.17, 0.00, 0.02
2015-11-5 18:14:47, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-5 18:24:47, 678.71, 17.87, 64.17, 0.04, 0.02
2015-11-5 18:34:48, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-5 18:44:49, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-5 18:54:49, 678.71, 17.87, 64.17, 0.06, 0.02
2015-11-5 19:04:50, 678.71, 17.87, 64.17, 0.00, 0.02
2015-11-5 19:14:51, 678.71, 17.87, 64.17, 0.06, 0.02
2015-11-5 19:24:52, 673.83, 17.38, 63.29, 0.02, 0.02
2015-11-5 19:34:53, 673.83, 17.38, 63.29, 0.06, 0.02
2015-11-5 19:44:53, 678.71, 17.87, 64.17, 0.00, 0.02
2015-11-5 19:54:54, 673.83, 17.38, 63.29, 0.02, 0.02
2015-11-5 20:04:55, 673.83, 17.38, 63.29, 0.05, 0.02
2015-11-5 20:14:56, 678.71, 17.87, 64.17, 0.03, 0.02
2015-11-5 20:24:56, 673.83, 17.38, 63.29, 0.04, 0.03
2015-11-5 20:34:58, 673.83, 17.38, 63.29, 0.03, 0.03
2015-11-5 20:44:58, 673.83, 17.38, 63.29, 0.12, 0.04
2015-11-5 20:54:59, 673.83, 17.38, 63.29, 0.01, 0.03
2015-11-5 21:05:00, 673.83, 17.38, 63.29, 0.01, 0.03
2015-11-5 21:15:01, 678.71, 17.87, 64.17, 0.09, 0.04
2015-11-5 21:25:02, 678.71, 17.87, 64.17, 0.00, 0.03
2015-11-5 21:35:03, 673.83, 17.38, 63.29, 0.00, 0.03
2015-11-5 21:45:04, 678.71, 17.87, 64.17, 0.06, 0.03
