33.9496, -83.3816
Jozie Lewis
Alyssa McDonald
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-9 11:35:24, 576.17, 7.62, 45.71, 0.00, 0.00
2015-11-9 11:45:25, 581.05, 8.11, 46.59, 0.01, 0.00
2015-11-9 11:55:25, 581.05, 8.11, 46.59, 0.00, 0.00
2015-11-9 12:05:25, 581.05, 8.11, 46.59, 0.00, 0.00
2015-11-9 12:15:26, 581.05, 8.11, 46.59, 0.02, 0.00
2015-11-9 12:25:26, 581.05, 8.11, 46.59, 0.00, 0.00
2015-11-9 12:35:27, 585.94, 8.59, 47.47, 0.07, 0.01
2015-11-9 12:45:28, 581.05, 8.11, 46.59, 0.02, 0.01
2015-11-9 12:55:28, 585.94, 8.59, 47.47, 0.01, 0.01
2015-11-9 13:05:29, 581.05, 8.11, 46.59, 0.05, 0.01
2015-11-9 13:15:29, 585.94, 8.59, 47.47, 0.00, 0.01
2015-11-9 13:25:30, 585.94, 8.59, 47.47, 0.03, 0.01
2015-11-9 13:35:31, 585.94, 8.59, 47.47, 0.02, 0.01
2015-11-9 13:45:32, 585.94, 8.59, 47.47, 0.00, 0.01
2015-11-9 13:55:33, 585.94, 8.59, 47.47, 0.00, 0.01
2015-11-9 14:05:34, 585.94, 8.59, 47.47, 0.07, 0.02
2015-11-9 14:15:34, 585.94, 8.59, 47.47, 0.01, 0.02
2015-11-9 14:25:35, 590.82, 9.08, 48.35, 0.01, 0.02
2015-11-9 14:35:35, 590.82, 9.08, 48.35, 0.02, 0.02
2015-11-9 14:45:36, 590.82, 9.08, 48.35, 0.02, 0.02
2015-11-9 14:55:37, 590.82, 9.08, 48.35, 0.07, 0.02
2015-11-9 15:05:37, 590.82, 9.08, 48.35, 0.08, 0.03
2015-11-9 15:15:38, 585.94, 8.59, 47.47, 0.06, 0.03
2015-11-9 15:25:39, 585.94, 8.59, 47.47, 0.03, 0.03
2015-11-9 15:35:40, 585.94, 8.59, 47.47, 0.09, 0.04
2015-11-9 15:45:40, 585.94, 8.59, 47.47, 0.07, 0.04
2015-11-9 15:55:41, 590.82, 9.08, 48.35, 0.08, 0.04
2015-11-9 16:05:42, 585.94, 8.59, 47.47, 0.04, 0.04
2015-11-9 16:15:42, 590.82, 9.08, 48.35, 0.01, 0.04
2015-11-9 16:25:43, 585.94, 8.59, 47.47, 0.05, 0.04
2015-11-9 16:35:44, 590.82, 9.08, 48.35, 0.03, 0.04
2015-11-9 16:45:45, 585.94, 8.59, 47.47, 0.01, 0.04
2015-11-9 16:55:45, 590.82, 9.08, 48.35, 0.04, 0.04
2015-11-9 17:05:46, 590.82, 9.08, 48.35, 0.02, 0.04
