33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-5 10:07:12, 673.83, 17.38, 63.29, 0.15, 0.02
2015-11-5 10:17:13, 668.95, 16.89, 62.41, 0.26, 0.04
2015-11-5 10:27:14, 673.83, 17.38, 63.29, 0.16, 0.05
2015-11-5 10:37:15, 668.95, 16.89, 62.41, 0.18, 0.06
2015-11-5 10:47:16, 673.83, 17.38, 63.29, 0.10, 0.07
2015-11-5 10:57:17, 668.95, 16.89, 62.41, 0.13, 0.07
2015-11-5 11:07:18, 673.83, 17.38, 63.29, 0.14, 0.08
2015-11-5 11:17:20, 668.95, 16.89, 62.41, 0.11, 0.08
2015-11-5 11:27:21, 668.95, 16.89, 62.41, 0.13, 0.09
2015-11-5 11:37:22, 673.83, 17.38, 63.29, 0.16, 0.10
2015-11-5 11:47:23, 678.71, 17.87, 64.17, 0.20, 0.11
2015-11-5 11:57:24, 673.83, 17.38, 63.29, 0.16, 0.11
2015-11-5 12:07:26, 678.71, 17.87, 64.17, 0.19, 0.12
2015-11-5 12:17:27, 678.71, 17.87, 64.17, 0.17, 0.12
2015-11-5 12:27:27, 678.71, 17.87, 64.17, 0.12, 0.12
2015-11-5 12:37:29, 678.71, 17.87, 64.17, 0.16, 0.13
2015-11-5 12:47:30, 678.71, 17.87, 64.17, 0.17, 0.13
2015-11-5 12:57:31, 678.71, 17.87, 64.17, 0.20, 0.14
2015-11-5 13:07:32, 678.71, 17.87, 64.17, 0.18, 0.14
2015-11-5 13:17:33, 683.59, 18.36, 65.05, 0.13, 0.14
2015-11-5 13:27:35, 683.59, 18.36, 65.05, 0.32, 0.16
2015-11-5 13:37:36, 683.59, 18.36, 65.05, 0.20, 0.16
2015-11-5 13:47:36, 683.59, 18.36, 65.05, 0.13, 0.16
2015-11-5 13:57:37, 683.59, 18.36, 65.05, 0.17, 0.16
2015-11-5 14:07:37, 683.59, 18.36, 65.05, 0.18, 0.16
2015-11-5 14:17:38, 683.59, 18.36, 65.05, 0.14, 0.16
2015-11-5 14:27:39, 683.59, 18.36, 65.05, 0.08, 0.15
2015-11-5 14:37:40, 683.59, 18.36, 65.05, 0.17, 0.15
2015-11-5 14:47:40, 688.48, 18.85, 65.93, 0.20, 0.16
2015-11-5 14:57:41, 683.59, 18.36, 65.05, 0.23, 0.17
2015-11-5 15:07:42, 688.48, 18.85, 65.93, 0.13, 0.16
2015-11-5 15:17:43, 688.48, 18.85, 65.93, 0.19, 0.17
2015-11-5 15:27:43, 688.48, 18.85, 65.93, 0.08, 0.16
2015-11-5 15:37:44, 688.48, 18.85, 65.93, 0.16, 0.16
2015-11-5 15:47:44, 683.59, 18.36, 65.05, 0.19, 0.16
2015-11-5 15:57:46, 688.48, 18.85, 65.93, 0.18, 0.16
2015-11-5 16:07:46, 688.48, 18.85, 65.93, 0.16, 0.16
2015-11-5 16:17:47, 688.48, 18.85, 65.93, 0.25, 0.17
2015-11-5 16:27:49, 688.48, 18.85, 65.93, 0.19, 0.17
2015-11-5 16:37:49, 688.48, 18.85, 65.93, 0.27, 0.18
2015-11-5 16:47:50, 683.59, 18.36, 65.05, 0.14, 0.18
2015-11-5 16:57:51, 683.59, 18.36, 65.05, 0.15, 0.18
