33.9496, -83.3816
Jozie Lewis
Alyssa McDonald
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-6 13:09:58, 717.77, 21.78, 71.20, 0.14, 0.01
2015-11-6 13:19:59, 712.89, 21.29, 70.32, 0.22, 0.03
2015-11-6 13:30:00, 712.89, 21.29, 70.32, 0.17, 0.05
2015-11-6 13:40:01, 717.77, 21.78, 71.20, 0.20, 0.06
2015-11-6 13:50:01, 712.89, 21.29, 70.32, 0.23, 0.08
2015-11-6 14:00:02, 717.77, 21.78, 71.20, 0.14, 0.09
2015-11-6 14:10:02, 717.77, 21.78, 71.20, 0.22, 0.10
2015-11-6 14:20:03, 708.01, 20.80, 69.44, 0.15, 0.10
2015-11-6 14:30:03, 708.01, 20.80, 69.44, 0.07, 0.10
2015-11-6 14:40:04, 708.01, 20.80, 69.44, 0.13, 0.10
2015-11-6 14:50:05, 703.13, 20.31, 68.56, 0.09, 0.10
2015-11-6 15:00:06, 708.01, 20.80, 69.44, 0.07, 0.10
2015-11-6 15:10:07, 708.01, 20.80, 69.44, 0.07, 0.10
2015-11-6 15:20:08, 703.13, 20.31, 68.56, 0.08, 0.09
2015-11-6 15:30:08, 703.13, 20.31, 68.56, 0.11, 0.10
2015-11-6 15:40:09, 708.01, 20.80, 69.44, 0.13, 0.10
2015-11-6 15:50:10, 712.89, 21.29, 70.32, 0.06, 0.10
2015-11-6 16:00:10, 712.89, 21.29, 70.32, 0.09, 0.09
2015-11-6 16:10:11, 712.89, 21.29, 70.32, 0.06, 0.09
2015-11-6 16:20:12, 717.77, 21.78, 71.20, 0.13, 0.09
2015-11-6 16:30:12, 708.01, 20.80, 69.44, 0.03, 0.09
2015-11-6 16:40:13, 698.24, 19.82, 67.68, 0.10, 0.09
2015-11-6 16:50:14, 708.01, 20.80, 69.44, 0.09, 0.09
2015-11-6 17:00:14, 698.24, 19.82, 67.68, 0.07, 0.09
2015-11-6 17:10:15, 693.36, 19.34, 66.80, 0.05, 0.08
2015-11-6 17:20:16, 683.59, 18.36, 65.05, 0.04, 0.08
2015-11-6 17:30:17, 678.71, 17.87, 64.17, 0.07, 0.08
2015-11-6 17:40:17, 683.59, 18.36, 65.05, 0.07, 0.08
2015-11-6 17:50:18, 678.71, 17.87, 64.17, 0.02, 0.07
2015-11-6 18:00:19, 688.48, 18.85, 65.93, 0.08, 0.07
2015-11-6 18:10:19, 698.24, 19.82, 67.68, 0.14, 0.08
2015-11-6 18:20:20, 693.36, 19.34, 66.80, 0.15, 0.09
2015-11-6 18:30:21, 698.24, 19.82, 67.68, 0.22, 0.10
