34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-5 14:22:07, 4.88, -49.51, -57.12, 0.06, 0.01
2015-11-5 14:32:08, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 14:42:10, 4.88, -49.51, -57.12, 0.00, 0.01
2015-11-5 14:52:11, 4.88, -49.51, -57.12, 0.03, 0.01
2015-11-5 15:202:13, 4.88, -49.51, -57.12, 0.02, 0.01
2015-11-5 15:12:14, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 15:22:16, 4.88, -49.51, -57.12, 0.01, 0.01
2015-11-5 15:32:17, 0.00, -50.00, -58.00, 0.03, 0.01
2015-11-5 15:42:18, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 15:52:19, 4.88, -49.51, -57.12, 0.00, 0.01
2015-11-5 16:202:21, 4.88, -49.51, -57.12, 0.04, 0.01
2015-11-5 16:12:22, 4.88, -49.51, -57.12, 0.05, 0.02
2015-11-5 16:22:23, 4.88, -49.51, -57.12, 0.23, 0.04
