33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-9 21:55:10, 610.35, 11.04, 51.86, 0.03, 0.00
2015-11-9 22:05:11, 615.23, 11.52, 52.74, 0.12, 0.02
2015-11-9 22:15:12, 615.23, 11.52, 52.74, 0.12, 0.03
2015-11-9 22:25:13, 620.12, 12.01, 53.62, 0.17, 0.04
2015-11-9 22:35:13, 615.23, 11.52, 52.74, 0.16, 0.05
2015-11-9 22:45:14, 620.12, 12.01, 53.62, 0.27, 0.07
2015-11-9 22:55:15, 620.12, 12.01, 53.62, 0.22, 0.09
2015-11-9 23:05:16, 620.12, 12.01, 53.62, 0.08, 0.09
2015-11-9 23:15:18, 625.00, 12.50, 54.50, 0.13, 0.09
2015-11-9 23:25:18, 625.00, 12.50, 54.50, 0.09, 0.09
2015-11-9 23:35:19, 625.00, 12.50, 54.50, 0.16, 0.10
2015-11-9 23:45:19, 625.00, 12.50, 54.50, 0.04, 0.09
2015-11-9 23:55:20, 625.00, 12.50, 54.50, 0.09, 0.09
2015-11-10 0:05:21, 625.00, 12.50, 54.50, 0.03, 0.09
2015-11-10 0:15:22, 625.00, 12.50, 54.50, 0.12, 0.09
2015-11-10 0:25:24, 625.00, 12.50, 54.50, 0.15, 0.09
2015-11-10 0:35:25, 625.00, 12.50, 54.50, 0.01, 0.09
2015-11-10 0:45:25, 625.00, 12.50, 54.50, 0.12, 0.09
2015-11-10 0:55:26, 625.00, 12.50, 54.50, 0.09, 0.09
2015-11-10 1:05:27, 625.00, 12.50, 54.50, 0.06, 0.09
2015-11-10 1:15:28, 629.88, 12.99, 55.38, 0.06, 0.08
2015-11-10 1:25:29, 625.00, 12.50, 54.50, 0.08, 0.08
2015-11-10 1:35:29, 625.00, 12.50, 54.50, 0.06, 0.08
2015-11-10 1:45:30, 625.00, 12.50, 54.50, 0.14, 0.09
2015-11-10 1:55:31, 625.00, 12.50, 54.50, 0.01, 0.08
2015-11-10 2:05:33, 629.88, 12.99, 55.38, 0.07, 0.08
2015-11-10 2:15:33, 629.88, 12.99, 55.38, 0.13, 0.09
2015-11-10 2:25:34, 629.88, 12.99, 55.38, 0.05, 0.08
2015-11-10 2:35:35, 625.00, 12.50, 54.50, 0.06, 0.08
2015-11-10 2:45:37, 625.00, 12.50, 54.50, 0.07, 0.08
2015-11-10 2:55:37, 629.88, 12.99, 55.38, 0.32, 0.10
2015-11-10 3:05:39, 629.88, 12.99, 55.38, 0.03, 0.10
2015-11-10 3:15:40, 629.88, 12.99, 55.38, 0.04, 0.09
2015-11-10 3:25:41, 625.00, 12.50, 54.50, 0.08, 0.09
2015-11-10 3:35:42, 625.00, 12.50, 54.50, 0.04, 0.08
2015-11-10 3:45:43, 629.88, 12.99, 55.38, 0.02, 0.08
2015-11-10 3:55:43, 625.00, 12.50, 54.50, 0.03, 0.07
2015-11-10 4:05:45, 625.00, 12.50, 54.50, 0.03, 0.07
2015-11-10 4:15:45, 625.00, 12.50, 54.50, 0.22, 0.08
2015-11-10 4:25:46, 629.88, 12.99, 55.38, 0.04, 0.08
2015-11-10 4:35:47, 629.88, 12.99, 55.38, 0.05, 0.08
2015-11-10 4:45:48, 625.00, 12.50, 54.50, 0.07, 0.08
2015-11-10 4:55:49, 625.00, 12.50, 54.50, 0.09, 0.08
2015-11-10 5:05:50, 625.00, 12.50, 54.50, 0.18, 0.09
2015-11-10 5:15:51, 625.00, 12.50, 54.50, 0.22, 0.10
2015-11-10 5:25:51, 625.00, 12.50, 54.50, 0.03, 0.09
2015-11-10 5:35:53, 625.00, 12.50, 54.50, 0.01, 0.09
2015-11-10 5:45:54, 625.00, 12.50, 54.50, 0.04, 0.08
2015-11-10 5:55:55, 625.00, 12.50, 54.50, 0.07, 0.08
2015-11-10 6:05:56, 625.00, 12.50, 54.50, 0.16, 0.09
2015-11-10 6:15:56, 625.00, 12.50, 54.50, 0.05, 0.08
2015-11-10 6:25:57, 629.88, 12.99, 55.38, 0.06, 0.08
2015-11-10 6:35:58, 625.00, 12.50, 54.50, 0.05, 0.08
2015-11-10 6:45:59, 625.00, 12.50, 54.50, 0.08, 0.08
2015-11-10 6:56:00, 625.00, 12.50, 54.50, 0.03, 0.07
2015-11-10 7:06:01, 625.00, 12.50, 54.50, 0.05, 0.07
2015-11-10 7:16:02, 625.00, 12.50, 54.50, 0.04, 0.07
2015-11-10 7:26:03, 625.00, 12.50, 54.50, 0.00, 0.06
2015-11-10 7:36:04, 629.88, 12.99, 55.38, 0.00, 0.06
2015-11-10 7:46:05, 629.88, 12.99, 55.38, 0.03, 0.05
2015-11-10 7:56:05, 629.88, 12.99, 55.38, 0.02, 0.05
2015-11-10 8:06:06, 629.88, 12.99, 55.38, 0.16, 0.06
2015-11-10 8:16:07, 629.88, 12.99, 55.38, 0.04, 0.06
2015-11-10 8:26:08, 629.88, 12.99, 55.38, 0.01, 0.05
2015-11-10 8:36:09, 629.88, 12.99, 55.38, 0.04, 0.05
2015-11-10 8:46:10, 634.77, 13.48, 56.26, 0.04, 0.05
2015-11-10 8:56:11, 634.77, 13.48, 56.26, 0.04, 0.05
2015-11-10 9:06:11, 634.77, 13.48, 56.26, 0.02, 0.05
2015-11-10 9:16:12, 629.88, 12.99, 55.38, 0.04, 0.05
2015-11-10 9:26:13, 634.77, 13.48, 56.26, 0.05, 0.05
2015-11-10 9:36:14, 634.77, 13.48, 56.26, 0.02, 0.04
2015-11-10 9:46:14, 634.77, 13.48, 56.26, 0.04, 0.04
2015-11-10 9:56:15, 634.77, 13.48, 56.26, 0.04, 0.04
2015-11-10 10:06:16, 634.77, 13.48, 56.26, 0.00, 0.04
2015-11-10 10:16:17, 634.77, 13.48, 56.26, 0.00, 0.03
2015-11-10 10:26:17, 639.65, 13.96, 57.14, 0.06, 0.04
2015-11-10 10:36:18, 634.77, 13.48, 56.26, 0.08, 0.04
2015-11-10 10:46:19, 639.65, 13.96, 57.14, 0.01, 0.04
2015-11-10 10:56:20, 639.65, 13.96, 57.14, 0.06, 0.04
