33.950327,  -83.380366
Cole Madray
Stephanie Petros
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-10 1:09:27, 664.06, 16.41, 61.53, 0.05, 0.00
2015-11-10 1:19:28, 659.18, 15.92, 60.65, 0.03, 0.01
2015-11-10 1:29:29, 654.30, 15.43, 59.77, 0.00, 0.01
2015-11-10 1:39:29, 659.18, 15.92, 60.65, 0.03, 0.01
2015-11-10 1:49:30, 659.18, 15.92, 60.65, 0.02, 0.01
2015-11-10 1:59:30, 654.30, 15.43, 59.77, 0.02, 0.01
2015-11-10 2:09:31, 659.18, 15.92, 60.65, 0.03, 0.01
2015-11-10 2:19:32, 654.30, 15.43, 59.77, 0.00, 0.01
2015-11-10 2:29:33, 659.18, 15.92, 60.65, 0.06, 0.02
2015-11-10 2:39:33, 654.30, 15.43, 59.77, 0.00, 0.01
2015-11-10 2:49:34, 654.30, 15.43, 59.77, 0.03, 0.02
2015-11-10 2:59:35, 659.18, 15.92, 60.65, 0.01, 0.01
2015-11-10 3:09:36, 654.30, 15.43, 59.77, 0.00, 0.01
2015-11-10 3:19:37, 659.18, 15.92, 60.65, 0.00, 0.01
2015-11-10 3:29:38, 659.18, 15.92, 60.65, 0.00, 0.01
2015-11-10 3:39:39, 664.06, 16.41, 61.53, 0.03, 0.01
2015-11-10 3:49:39, 659.18, 15.92, 60.65, 0.08, 0.02
2015-11-10 3:59:40, 664.06, 16.41, 61.53, 0.00, 0.02
2015-11-10 4:09:41, 649.41, 14.94, 58.89, 0.15, 0.03
2015-11-10 4:19:43, 654.30, 15.43, 59.77, 0.02, 0.03
2015-11-10 4:29:43, 654.30, 15.43, 59.77, 0.02, 0.03
2015-11-10 4:39:43, 668.95, 16.89, 62.41, 0.01, 0.03
2015-11-10 4:49:44, 668.95, 16.89, 62.41, 0.00, 0.02
2015-11-10 4:59:45, 664.06, 16.41, 61.53, 0.08, 0.03
2015-11-10 5:09:46, 659.18, 15.92, 60.65, 0.00, 0.03
2015-11-10 5:19:48, 659.18, 15.92, 60.65, 0.03, 0.03
2015-11-10 5:29:49, 654.30, 15.43, 59.77, 0.02, 0.03
2015-11-10 5:39:50, 659.18, 15.92, 60.65, 0.01, 0.02
2015-11-10 5:49:51, 668.95, 16.89, 62.41, 0.00, 0.02
2015-11-10 5:59:52, 668.95, 16.89, 62.41, 0.01, 0.02
2015-11-10 6:09:53, 668.95, 16.89, 62.41, 0.00, 0.02
2015-11-10 6:19:54, 668.95, 16.89, 62.41, 0.00, 0.02
2015-11-10 6:29:55, 668.95, 16.89, 62.41, 0.00, 0.01
2015-11-10 6:39:56, 664.06, 16.41, 61.53, 0.00, 0.01
2015-11-10 6:49:57, 664.06, 16.41, 61.53, 0.00, 0.01
2015-11-10 6:59:57, 668.95, 16.89, 62.41, 0.00, 0.01
2015-11-10 7:09:58, 668.95, 16.89, 62.41, 0.00, 0.01
2015-11-10 7:19:59, 668.95, 16.89, 62.41, 0.00, 0.01
2015-11-10 7:30:00, 664.06, 16.41, 61.53, 0.00, 0.01
2015-11-10 7:40:01, 664.06, 16.41, 61.53, 0.00, 0.01
2015-11-10 7:50:02, 668.95, 16.89, 62.41, 0.03, 0.01
2015-11-10 8:00:03, 668.95, 16.89, 62.41, 0.00, 0.01
2015-11-10 8:10:04, 668.95, 16.89, 62.41, 0.00, 0.01
2015-11-10 8:20:05, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-10 8:30:06, 673.83, 17.38, 63.29, 0.00, 0.01
2015-11-10 8:40:07, 668.95, 16.89, 62.41, 0.00, 0.01
2015-11-10 8:50:08, 673.83, 17.38, 63.29, 0.05, 0.01
2015-11-10 9:00:08, 673.83, 17.38, 63.29, 0.00, 0.01
2015-11-10 9:10:09, 673.83, 17.38, 63.29, 0.08, 0.02
2015-11-10 9:20:10, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-10 9:30:11, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-10 9:40:11, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-10 9:50:13, 678.71, 17.87, 64.17, 0.01, 0.01
2015-11-10 10:00:14, 678.71, 17.87, 64.17, 0.05, 0.02
2015-11-10 10:10:14, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-10 10:20:15, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-10 10:30:16, 703.13, 20.31, 68.56, 0.00, 0.01
2015-11-10 10:40:17, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-10 10:50:18, 693.36, 19.34, 66.80, 0.05, 0.01
2015-11-10 11:00:18, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-10 11:10:19, 698.24, 19.82, 67.68, 0.00, 0.01
2015-11-10 11:20:20, 712.89, 21.29, 70.32, 0.02, 0.01
2015-11-10 11:30:21, 712.89, 21.29, 70.32, 0.00, 0.01
2015-11-10 11:40:22, 708.01, 20.80, 69.44, 0.01, 0.01
2015-11-10 11:50:23, 708.01, 20.80, 69.44, 0.00, 0.01
2015-11-10 12:00:24, 708.01, 20.80, 69.44, 0.00, 0.01
2015-11-10 12:10:24, 708.01, 20.80, 69.44, 0.03, 0.01
2015-11-10 12:20:25, 722.66, 22.27, 72.08, 0.01, 0.01
2015-11-10 12:30:26, 737.30, 23.73, 74.71, 0.05, 0.02
