33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-8 14:33:35, 629.88, 12.99, 55.38, 0.12, 0.01
2015-11-8 14:43:36, 620.12, 12.01, 53.62, 0.09, 0.02
2015-11-8 14:53:38, 620.12, 12.01, 53.62, 0.03, 0.02
2015-11-8 15:03:38, 620.12, 12.01, 53.62, 0.08, 0.03
2015-11-8 15:13:40, 620.12, 12.01, 53.62, 0.07, 0.03
2015-11-8 15:23:40, 620.12, 12.01, 53.62, 0.04, 0.03
2015-11-8 15:33:41, 620.12, 12.01, 53.62, 0.06, 0.04
2015-11-8 15:43:42, 620.12, 12.01, 53.62, 0.14, 0.05
2015-11-8 15:53:42, 620.12, 12.01, 53.62, 0.07, 0.05
2015-11-8 16:03:43, 620.12, 12.01, 53.62, 0.05, 0.05
2015-11-8 16:13:44, 620.12, 12.01, 53.62, 0.04, 0.05
2015-11-8 16:23:45, 620.12, 12.01, 53.62, 0.00, 0.04
2015-11-8 16:33:46, 620.12, 12.01, 53.62, 0.01, 0.04
2015-11-8 16:43:48, 620.12, 12.01, 53.62, 0.08, 0.04
2015-11-8 16:53:48, 610.35, 11.04, 51.86, 0.04, 0.04
2015-11-8 17:03:49, 615.23, 11.52, 52.74, 0.12, 0.05
2015-11-8 17:13:50, 620.12, 12.01, 53.62, 0.08, 0.05
2015-11-8 17:23:51, 615.23, 11.52, 52.74, 0.00, 0.05
2015-11-8 17:33:52, 615.23, 11.52, 52.74, 0.05, 0.05
2015-11-8 17:43:53, 615.23, 11.52, 52.74, 0.13, 0.06
2015-11-8 17:53:53, 615.23, 11.52, 52.74, 0.03, 0.05
2015-11-8 18:03:55, 615.23, 11.52, 52.74, 0.11, 0.06
2015-11-8 18:13:56, 610.35, 11.04, 51.86, 0.06, 0.06
2015-11-8 18:23:57, 615.23, 11.52, 52.74, 0.04, 0.06
2015-11-8 18:33:57, 615.23, 11.52, 52.74, 0.11, 0.06
2015-11-8 18:43:59, 610.35, 11.04, 51.86, 0.02, 0.06
2015-11-8 18:54:00, 615.23, 11.52, 52.74, 0.11, 0.06
2015-11-8 19:04:01, 610.35, 11.04, 51.86, 0.10, 0.07
2015-11-8 19:14:02, 610.35, 11.04, 51.86, 0.01, 0.06
2015-11-8 19:24:04, 605.47, 10.55, 50.98, 0.01, 0.06
2015-11-8 19:34:04, 605.47, 10.55, 50.98, 0.08, 0.06
