34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-7 0:000:46, 693.36, 19.34, 66.80, 0.04, 0.00
2015-11-7 0:10:48, 688.48, 18.85, 65.93, 0.04, 0.01
2015-11-7 0:20:49, 688.48, 18.85, 65.93, 0.07, 0.01
2015-11-7 0:30:50, 688.48, 18.85, 65.93, 0.02, 0.02
2015-11-7 0:40:52, 693.36, 19.34, 66.80, 0.03, 0.02
2015-11-7 0:50:53, 693.36, 19.34, 66.80, 0.02, 0.02
2015-11-7 1:000:53, 693.36, 19.34, 66.80, 0.07, 0.02
2015-11-7 1:10:54, 688.48, 18.85, 65.93, 0.15, 0.03
2015-11-7 1:20:54, 688.48, 18.85, 65.93, 0.16, 0.05
2015-11-7 1:30:56, 688.48, 18.85, 65.93, 0.10, 0.05
2015-11-7 1:40:57, 688.48, 18.85, 65.93, 0.19, 0.07
2015-11-7 1:50:58, 688.48, 18.85, 65.93, 0.22, 0.08
2015-11-7 2:101:00, 688.48, 18.85, 65.93, 0.08, 0.08
2015-11-7 2:11:02, 688.48, 18.85, 65.93, 0.07, 0.08
2015-11-7 2:21:02, 683.59, 18.36, 65.05, 0.15, 0.09
2015-11-7 2:31:04, 683.59, 18.36, 65.05, 0.00, 0.08
2015-11-7 2:41:05, 688.48, 18.85, 65.93, 0.05, 0.08
2015-11-7 2:51:06, 688.48, 18.85, 65.93, 0.08, 0.08
2015-11-7 3:101:08, 683.59, 18.36, 65.05, 0.16, 0.08
2015-11-7 3:11:09, 683.59, 18.36, 65.05, 0.03, 0.08
2015-11-7 3:21:11, 683.59, 18.36, 65.05, 0.13, 0.08
2015-11-7 3:31:12, 683.59, 18.36, 65.05, 0.06, 0.08
2015-11-7 3:41:13, 688.48, 18.85, 65.93, 0.17, 0.09
2015-11-7 3:51:14, 683.59, 18.36, 65.05, 0.02, 0.08
2015-11-7 4:101:16, 683.59, 18.36, 65.05, 0.01, 0.08
2015-11-7 4:11:16, 678.71, 17.87, 64.17, 0.07, 0.08
2015-11-7 4:21:18, 683.59, 18.36, 65.05, 0.00, 0.07
2015-11-7 4:31:19, 683.59, 18.36, 65.05, 0.01, 0.06
2015-11-7 4:41:20, 683.59, 18.36, 65.05, 0.05, 0.06
2015-11-7 4:51:22, 683.59, 18.36, 65.05, 0.00, 0.06
2015-11-7 5:101:23, 683.59, 18.36, 65.05, 0.05, 0.06
2015-11-7 5:11:24, 678.71, 17.87, 64.17, 0.07, 0.06
2015-11-7 5:21:25, 678.71, 17.87, 64.17, 0.00, 0.05
