33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-7 20:57:46, 683.59, 18.36, 65.05, 0.23, 0.02
2015-11-7 21:07:46, 683.59, 18.36, 65.05, 0.45, 0.06
2015-11-7 21:17:48, 688.48, 18.85, 65.93, 0.17, 0.08
2015-11-7 21:27:49, 693.36, 19.34, 66.80, 0.39, 0.11
2015-11-7 21:37:50, 688.48, 18.85, 65.93, 0.29, 0.13
2015-11-7 21:47:50, 688.48, 18.85, 65.93, 0.50, 0.16
2015-11-7 21:57:51, 688.48, 18.85, 65.93, 0.34, 0.18
2015-11-7 22:07:51, 688.48, 18.85, 65.93, 0.20, 0.18
2015-11-7 22:17:53, 688.48, 18.85, 65.93, 0.22, 0.19
2015-11-7 22:27:54, 688.48, 18.85, 65.93, 0.09, 0.18
2015-11-7 22:37:54, 688.48, 18.85, 65.93, 0.17, 0.18
2015-11-7 22:47:56, 688.48, 18.85, 65.93, 0.25, 0.18
2015-11-7 22:57:56, 688.48, 18.85, 65.93, 0.15, 0.18
2015-11-7 23:07:57, 688.48, 18.85, 65.93, 0.23, 0.18
2015-11-7 23:17:58, 683.59, 18.36, 65.05, 0.26, 0.19
2015-11-7 23:27:59, 683.59, 18.36, 65.05, 0.30, 0.20
2015-11-7 23:38:00, 678.71, 17.87, 64.17, 0.19, 0.20
2015-11-7 23:48:02, 683.59, 18.36, 65.05, 0.35, 0.22
2015-11-7 23:58:02, 683.59, 18.36, 65.05, 0.48, 0.24
2015-11-8 0:08:03, 678.71, 17.87, 64.17, 0.33, 0.25
2015-11-8 0:18:04, 678.71, 17.87, 64.17, 0.16, 0.24
2015-11-8 0:28:05, 683.59, 18.36, 65.05, 0.47, 0.27
2015-11-8 0:38:06, 683.59, 18.36, 65.05, 0.20, 0.26
2015-11-8 0:48:07, 683.59, 18.36, 65.05, 0.37, 0.27
2015-11-8 0:58:08, 678.71, 17.87, 64.17, 0.39, 0.28
2015-11-8 1:08:09, 673.83, 17.38, 63.29, 0.38, 0.29
2015-11-8 1:18:10, 678.71, 17.87, 64.17, 0.22, 0.28
2015-11-8 1:28:11, 678.71, 17.87, 64.17, 0.32, 0.29
2015-11-8 1:38:12, 673.83, 17.38, 63.29, 0.40, 0.30
2015-11-8 1:48:13, 673.83, 17.38, 63.29, 0.37, 0.31
2015-11-8 1:58:14, 673.83, 17.38, 63.29, 0.35, 0.31
2015-11-8 2:08:15, 673.83, 17.38, 63.29, 0.42, 0.32
