34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-6 18:24:35, 742.19, 24.22, 75.59, 0.09, 0.01
2015-11-6 18:34:37, 732.42, 23.24, 73.84, 0.10, 0.02
2015-11-6 18:44:38, 732.42, 23.24, 73.84, 0.09, 0.03
2015-11-6 18:54:39, 722.66, 22.27, 72.08, 0.07, 0.03
2015-11-6 19:404:41, 717.77, 21.78, 71.20, 0.02, 0.03
2015-11-6 19:14:42, 717.77, 21.78, 71.20, 0.18, 0.04
2015-11-6 19:24:43, 708.01, 20.80, 69.44, 0.14, 0.05
2015-11-6 19:34:44, 708.01, 20.80, 69.44, 0.04, 0.05
2015-11-6 19:44:44, 708.01, 20.80, 69.44, 0.03, 0.05
2015-11-6 19:54:45, 703.13, 20.31, 68.56, 0.00, 0.04
2015-11-6 20:404:47, 703.13, 20.31, 68.56, 0.07, 0.05
2015-11-6 20:14:48, 703.13, 20.31, 68.56, 0.03, 0.05
2015-11-6 20:24:49, 698.24, 19.82, 67.68, 0.07, 0.05
2015-11-6 20:34:50, 703.13, 20.31, 68.56, 0.00, 0.04
2015-11-6 20:44:51, 698.24, 19.82, 67.68, 0.04, 0.04
2015-11-6 20:54:53, 703.13, 20.31, 68.56, 0.00, 0.04
2015-11-6 21:404:54, 698.24, 19.82, 67.68, 0.04, 0.04
2015-11-6 21:14:55, 703.13, 20.31, 68.56, 0.03, 0.04
2015-11-6 21:24:57, 703.13, 20.31, 68.56, 0.09, 0.04
2015-11-6 21:34:58, 703.13, 20.31, 68.56, 0.09, 0.05
2015-11-6 21:44:59, 703.13, 20.31, 68.56, 0.03, 0.05
2015-11-6 21:55:01, 703.13, 20.31, 68.56, 0.00, 0.04
2015-11-6 22:505:02, 698.24, 19.82, 67.68, 0.02, 0.04
2015-11-6 22:15:03, 703.13, 20.31, 68.56, 0.00, 0.04
2015-11-6 22:25:04, 698.24, 19.82, 67.68, 0.15, 0.05
2015-11-6 22:35:05, 698.24, 19.82, 67.68, 0.07, 0.05
2015-11-6 22:45:06, 693.36, 19.34, 66.80, 0.00, 0.04
2015-11-6 22:55:07, 693.36, 19.34, 66.80, 0.17, 0.06
2015-11-6 23:505:08, 698.24, 19.82, 67.68, 0.09, 0.06
2015-11-6 23:15:09, 693.36, 19.34, 66.80, 0.04, 0.06
2015-11-6 23:25:10, 693.36, 19.34, 66.80, 0.14, 0.07
2015-11-6 23:35:11, 688.48, 18.85, 65.93, 0.01, 0.06
2015-11-6 23:45:13, 693.36, 19.34, 66.80, 0.01, 0.06
