33.9496, -83.3816
Jozie Lewis
Alyssa McDonald
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-10 11:16:30, 629.88, 12.99, 55.38, 0.05, 0.01
2015-11-10 11:26:31, 634.77, 13.48, 56.26, 0.08, 0.01
2015-11-10 11:36:32, 634.77, 13.48, 56.26, 0.07, 0.02
2015-11-10 11:46:33, 634.77, 13.48, 56.26, 0.45, 0.06
2015-11-10 11:56:33, 639.65, 13.96, 57.14, 0.15, 0.07
2015-11-10 12:06:34, 639.65, 13.96, 57.14, 0.20, 0.08
2015-11-10 12:16:35, 644.53, 14.45, 58.02, 0.18, 0.09
2015-11-10 12:26:35, 639.65, 13.96, 57.14, 0.17, 0.10
2015-11-10 12:36:36, 639.65, 13.96, 57.14, 0.10, 0.10
2015-11-10 12:46:36, 644.53, 14.45, 58.02, 0.05, 0.10
2015-11-10 12:56:36, 649.41, 14.94, 58.89, 0.08, 0.10
2015-11-10 13:06:37, 649.41, 14.94, 58.89, 0.11, 0.10
2015-11-10 13:16:38, 649.41, 14.94, 58.89, 0.08, 0.09
2015-11-10 13:26:39, 654.30, 15.43, 59.77, 0.10, 0.10
2015-11-10 13:36:40, 659.18, 15.92, 60.65, 0.12, 0.10
2015-11-10 13:46:40, 659.18, 15.92, 60.65, 0.12, 0.10
2015-11-10 13:56:41, 664.06, 16.41, 61.53, 0.12, 0.10
2015-11-10 14:06:42, 664.06, 16.41, 61.53, 0.09, 0.10
2015-11-10 14:16:42, 668.95, 16.89, 62.41, 0.08, 0.10
2015-11-10 14:26:43, 673.83, 17.38, 63.29, 0.05, 0.09
2015-11-10 14:36:44, 673.83, 17.38, 63.29, 0.03, 0.09
2015-11-10 14:46:44, 678.71, 17.87, 64.17, 0.08, 0.09
2015-11-10 14:56:45, 678.71, 17.87, 64.17, 0.09, 0.09
2015-11-10 15:06:46, 678.71, 17.87, 64.17, 0.17, 0.09
2015-11-10 15:16:47, 683.59, 18.36, 65.05, 0.09, 0.09
