33.9497, -83.3804
Raahul Soundappan
Amanda Moller
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-7 20:57:43, 703.13, 20.31, 68.56, 0.14, 0.01
2015-11-7 21:07:44, 703.13, 20.31, 68.56, 0.08, 0.02
2015-11-7 21:17:45, 703.13, 20.31, 68.56, 0.29, 0.05
2015-11-7 21:27:46, 708.01, 20.80, 69.44, 0.11, 0.05
2015-11-7 21:37:47, 708.01, 20.80, 69.44, 0.19, 0.07
2015-11-7 21:47:48, 703.13, 20.31, 68.56, 0.27, 0.09
2015-11-7 21:57:50, 703.13, 20.31, 68.56, 0.18, 0.10
2015-11-7 22:07:50, 703.13, 20.31, 68.56, 0.20, 0.11
2015-11-7 22:17:52, 708.01, 20.80, 69.44, 0.29, 0.13
2015-11-7 22:27:52, 703.13, 20.31, 68.56, 0.23, 0.14
2015-11-7 22:37:53, 703.13, 20.31, 68.56, 0.33, 0.16
2015-11-7 22:47:54, 703.13, 20.31, 68.56, 0.30, 0.17
2015-11-7 22:57:55, 703.13, 20.31, 68.56, 0.31, 0.18
2015-11-7 23:07:56, 703.13, 20.31, 68.56, 0.26, 0.19
2015-11-7 23:17:56, 703.13, 20.31, 68.56, 0.19, 0.19
2015-11-7 23:27:58, 698.24, 19.82, 67.68, 0.25, 0.20
2015-11-7 23:37:58, 698.24, 19.82, 67.68, 0.18, 0.20
2015-11-7 23:48:00, 698.24, 19.82, 67.68, 0.21, 0.20
2015-11-7 23:58:01, 698.24, 19.82, 67.68, 0.28, 0.20
2015-11-8 0:08:02, 698.24, 19.82, 67.68, 0.31, 0.22
2015-11-8 0:18:03, 698.24, 19.82, 67.68, 0.31, 0.23
2015-11-8 0:28:04, 698.24, 19.82, 67.68, 0.21, 0.22
2015-11-8 0:38:05, 698.24, 19.82, 67.68, 0.07, 0.21
2015-11-8 0:48:06, 698.24, 19.82, 67.68, 0.28, 0.22
2015-11-8 0:58:07, 698.24, 19.82, 67.68, 0.26, 0.22
2015-11-8 1:08:08, 698.24, 19.82, 67.68, 0.17, 0.21
2015-11-8 1:18:09, 698.24, 19.82, 67.68, 0.19, 0.21
2015-11-8 1:28:10, 698.24, 19.82, 67.68, 0.25, 0.22
2015-11-8 1:38:11, 698.24, 19.82, 67.68, 0.27, 0.22
