33.948901, -83.378378
Ashley Sirmans
Matthew Mooney
Time, Voltage (V), Temp (C), Temp (F), Raw %, filtered
2015-11-8 13:56:14, 541.99, 4.20, 39.56,0.33,0.03
2015-11-8 14:06:15, 581.05, 8.11, 46.59,0.03,0.03
2015-11-8 14:16:16, 463.87, -3.61, 25.50,0.08,0.04
2015-11-8 14:26:18, 493.16, -0.68, 30.77,0.16,0.05
2015-11-8 14:36:19, 537.11, 3.71, 38.68,0.11,0.06
2015-11-8 14:46:21, 502.93, 0.29, 32.53,0.18,0.07
2015-11-8 14:56:22, 673.83, 17.38, 63.29,0.17,0.08
2015-11-8 15:06:24, 664.06, 16.41, 61.53,0.10,0.08
2015-11-8 15:16:25, 566.41, 6.64, 43.95,0.09,0.08
2015-11-8 15:26:26, 634.77, 13.48, 56.26,0.13,0.09
2015-11-8 15:36:27, 625.00, 12.50, 54.50,0.10,0.09
2015-11-8 15:46:29, 664.06, 16.41, 61.53,0.02,0.08
2015-11-8 15:56:31, 581.05, 8.11, 46.59,0.06,0.08
2015-11-8 16:06:32, 620.12, 12.01, 53.62,0.13,0.08
2015-11-8 16:16:33, 659.18, 15.92, 60.65,0.07,0.08
2015-11-8 16:26:34, 625.00, 12.50, 54.50,0.09,0.08
2015-11-8 16:36:35, 639.65, 13.96, 57.14,0.10,0.09
2015-11-8 16:46:37, 600.59, 10.06, 50.11,0.09,0.09
2015-11-8 16:56:38, 673.83, 17.38, 63.29,0.05,0.08
2015-11-8 17:06:39, 639.65, 13.96, 57.14,0.06,0.08
2015-11-8 17:16:41, 668.95, 16.89, 62.41,0.11,0.08
2015-11-8 17:26:42, 644.53, 14.45, 58.02,0.04,0.08
2015-11-8 17:36:44, 639.65, 13.96, 57.14,0.10,0.08
2015-11-8 17:46:45, 654.30, 15.43, 59.77,0.03,0.08
2015-11-8 17:56:46, 620.12, 12.01, 53.62,0.04,0.07
2015-11-8 18:06:48, 615.23, 11.52, 52.74,0.08,0.07
2015-11-8 18:16:49, 620.12, 12.01, 53.62,0.07,0.07
2015-11-8 18:26:50, 644.53, 14.45, 58.02,0.12,0.08
2015-11-8 18:36:52, 649.41, 14.94, 58.89,0.06,0.07
2015-11-8 18:46:53, 664.06, 16.41, 61.53,0.05,0.07
2015-11-8 18:56:54, 605.47, 10.55, 50.98,0.02,0.07
2015-11-8 19:06:56, 649.41, 14.94, 58.89,0.07,0.07
2015-11-8 19:16:57, 610.35, 11.04, 51.86,0.03,0.06
2015-11-8 19:26:58, 649.41, 14.94, 58.89,0.03,0.06
2015-11-8 19:36:59, 625.00, 12.50, 54.50,0.05,0.06
2015-11-8 19:47:01, 585.94, 8.59, 47.47,0.06,0.06
2015-11-8 19:57:01, 629.88, 12.99, 55.38,0.08,0.06
2015-11-8 20:07:02, 664.06, 16.41, 61.53,0.03,0.06
2015-11-8 20:17:04, 634.77, 13.48, 56.26,0.10,0.06
2015-11-8 20:27:05, 615.23, 11.52, 52.74,0.07,0.06
2015-11-8 20:37:06, 625.00, 12.50, 54.50,0.05,0.06
2015-11-8 20:47:07, 620.12, 12.01, 53.62,0.04,0.06
2015-11-8 20:57:08, 649.41, 14.94, 58.89,0.04,0.06
2015-11-8 21:07:09, 620.12, 12.01, 53.62,0.59,0.11
2015-11-8 21:17:11, 522.46, 2.25, 36.04,5.51,0.65
2015-11-8 21:27:13, 629.88, 12.99, 55.38,2.80,0.87
2015-11-8 21:37:14, 649.41, 14.94, 58.89,2.42,1.02
2015-11-8 21:47:16, 654.30, 15.43, 59.77,1.89,1.11
2015-11-8 21:57:17, 629.88, 12.99, 55.38,0.80,1.08
