33.9497, -83.3804
Raahul Soundappan
Amanda Moller
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-9 21:55:09, 620.12, 12.01, 53.62, 0.05, 0.01
2015-11-9 22:05:09, 625.00, 12.50, 54.50, 0.00, 0.00
2015-11-9 22:15:10, 625.00, 12.50, 54.50, 0.01, 0.01
2015-11-9 22:25:11, 629.88, 12.99, 55.38, 0.12, 0.02
2015-11-9 22:35:12, 629.88, 12.99, 55.38, 0.06, 0.02
2015-11-9 22:45:13, 629.88, 12.99, 55.38, 0.03, 0.02
2015-11-9 22:55:14, 629.88, 12.99, 55.38, 0.12, 0.03
2015-11-9 23:05:15, 629.88, 12.99, 55.38, 0.12, 0.04
2015-11-9 23:15:17, 634.77, 13.48, 56.26, 0.03, 0.04
2015-11-9 23:25:18, 629.88, 12.99, 55.38, 0.07, 0.04
2015-11-9 23:35:18, 629.88, 12.99, 55.38, 0.13, 0.05
2015-11-9 23:45:20, 634.77, 13.48, 56.26, 0.07, 0.05
2015-11-9 23:55:20, 629.88, 12.99, 55.38, 0.04, 0.05
2015-11-10 0:05:21, 634.77, 13.48, 56.26, 0.00, 0.05
2015-11-10 0:15:22, 629.88, 12.99, 55.38, 0.04, 0.05
2015-11-10 0:25:23, 634.77, 13.48, 56.26, 0.00, 0.04
2015-11-10 0:35:23, 629.88, 12.99, 55.38, 0.00, 0.04
2015-11-10 0:45:24, 634.77, 13.48, 56.26, 0.01, 0.03
2015-11-10 0:55:25, 634.77, 13.48, 56.26, 0.02, 0.03
2015-11-10 1:05:26, 634.77, 13.48, 56.26, 0.11, 0.04
2015-11-10 1:15:27, 634.77, 13.48, 56.26, 0.02, 0.04
2015-11-10 1:25:27, 639.65, 13.96, 57.14, 0.04, 0.04
2015-11-10 1:35:28, 639.65, 13.96, 57.14, 0.01, 0.03
2015-11-10 1:45:29, 634.77, 13.48, 56.26, 0.00, 0.03
2015-11-10 1:55:30, 634.77, 13.48, 56.26, 0.09, 0.04
2015-11-10 2:05:31, 634.77, 13.48, 56.26, 0.09, 0.04
2015-11-10 2:15:32, 634.77, 13.48, 56.26, 0.06, 0.04
2015-11-10 2:25:33, 639.65, 13.96, 57.14, 0.00, 0.04
2015-11-10 2:35:33, 634.77, 13.48, 56.26, 0.00, 0.04
2015-11-10 2:45:34, 639.65, 13.96, 57.14, 0.04, 0.04
2015-11-10 2:55:36, 639.65, 13.96, 57.14, 0.06, 0.04
2015-11-10 3:05:37, 634.77, 13.48, 56.26, 0.01, 0.03
2015-11-10 3:15:37, 639.65, 13.96, 57.14, 0.00, 0.03
2015-11-10 3:25:39, 639.65, 13.96, 57.14, 0.04, 0.03
2015-11-10 3:35:40, 634.77, 13.48, 56.26, 0.00, 0.03
2015-11-10 3:45:41, 639.65, 13.96, 57.14, 0.03, 0.03
2015-11-10 3:55:42, 634.77, 13.48, 56.26, 0.07, 0.03
2015-11-10 4:05:43, 639.65, 13.96, 57.14, 0.08, 0.04
2015-11-10 4:15:44, 634.77, 13.48, 56.26, 0.01, 0.03
2015-11-10 4:25:45, 634.77, 13.48, 56.26, 0.08, 0.04
2015-11-10 4:35:46, 639.65, 13.96, 57.14, 0.04, 0.04
2015-11-10 4:45:47, 639.65, 13.96, 57.14, 0.03, 0.04
2015-11-10 4:55:48, 634.77, 13.48, 56.26, 0.03, 0.04
2015-11-10 5:05:49, 639.65, 13.96, 57.14, 0.00, 0.03
2015-11-10 5:15:49, 639.65, 13.96, 57.14, 0.00, 0.03
2015-11-10 5:25:50, 634.77, 13.48, 56.26, 0.00, 0.03
2015-11-10 5:35:51, 634.77, 13.48, 56.26, 0.00, 0.02
2015-11-10 5:45:51, 634.77, 13.48, 56.26, 0.00, 0.02
2015-11-10 5:55:52, 634.77, 13.48, 56.26, 0.03, 0.02
2015-11-10 6:05:53, 634.77, 13.48, 56.26, 0.06, 0.03
2015-11-10 6:15:54, 634.77, 13.48, 56.26, 0.00, 0.02
2015-11-10 6:25:55, 634.77, 13.48, 56.26, 0.05, 0.03
2015-11-10 6:35:55, 634.77, 13.48, 56.26, 0.00, 0.02
2015-11-10 6:45:56, 634.77, 13.48, 56.26, 0.06, 0.03
2015-11-10 6:55:56, 629.88, 12.99, 55.38, 0.00, 0.03
2015-11-10 7:05:58, 634.77, 13.48, 56.26, 0.05, 0.03
2015-11-10 7:15:58, 639.65, 13.96, 57.14, 0.00, 0.03
2015-11-10 7:25:59, 639.65, 13.96, 57.14, 0.00, 0.02
2015-11-10 7:36:00, 639.65, 13.96, 57.14, 0.00, 0.02
2015-11-10 7:46:00, 639.65, 13.96, 57.14, 0.00, 0.02
2015-11-10 7:56:01, 644.53, 14.45, 58.02, 0.00, 0.02
2015-11-10 8:06:01, 639.65, 13.96, 57.14, 0.00, 0.01
2015-11-10 8:16:02, 644.53, 14.45, 58.02, 0.03, 0.02
2015-11-10 8:26:03, 644.53, 14.45, 58.02, 0.00, 0.01
2015-11-10 8:36:04, 639.65, 13.96, 57.14, 0.01, 0.01
2015-11-10 8:46:05, 639.65, 13.96, 57.14, 0.00, 0.01
2015-11-10 8:56:05, 644.53, 14.45, 58.02, 0.00, 0.01
2015-11-10 9:06:06, 644.53, 14.45, 58.02, 0.00, 0.01
2015-11-10 9:16:07, 639.65, 13.96, 57.14, 0.00, 0.01
2015-11-10 9:26:08, 644.53, 14.45, 58.02, 0.02, 0.01
2015-11-10 9:36:08, 644.53, 14.45, 58.02, 0.00, 0.01
2015-11-10 9:46:09, 644.53, 14.45, 58.02, 0.00, 0.01
2015-11-10 9:56:10, 644.53, 14.45, 58.02, 0.00, 0.01
2015-11-10 10:06:10, 649.41, 14.94, 58.89, 0.00, 0.01
2015-11-10 10:16:11, 649.41, 14.94, 58.89, 0.00, 0.01
2015-11-10 10:26:11, 644.53, 14.45, 58.02, 0.00, 0.01
2015-11-10 10:36:12, 644.53, 14.45, 58.02, 0.00, 0.01
2015-11-10 10:46:13, 654.30, 15.43, 59.77, 0.05, 0.01
2015-11-10 10:56:14, 649.41, 14.94, 58.89, 0.02, 0.01
