34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-4 12:39:13, 649.41, 14.94, 58.89, 0.09, 0.01
2015-11-4 12:49:14, 668.95, 16.89, 62.41, 0.01, 0.01
2015-11-4 12:59:15, 668.95, 16.89, 62.41, 0.01, 0.01
2015-11-4 13:909:16, 659.18, 15.92, 60.65, 0.00, 0.01
2015-11-4 13:19:17, 659.18, 15.92, 60.65, 0.03, 0.01
2015-11-4 13:29:19, 664.06, 16.41, 61.53, 0.00, 0.01
2015-11-4 13:39:20, 668.95, 16.89, 62.41, 0.00, 0.01
2015-11-4 13:49:21, 678.71, 17.87, 64.17, 0.01, 0.01
2015-11-4 13:59:23, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-4 14:909:24, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-4 14:19:26, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-4 14:29:27, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-4 14:39:29, 683.59, 18.36, 65.05, 0.00, 0.00
2015-11-4 14:49:30, 678.71, 17.87, 64.17, 0.01, 0.00
2015-11-4 14:59:31, 683.59, 18.36, 65.05, 0.00, 0.00
2015-11-4 15:909:33, 678.71, 17.87, 64.17, 0.00, 0.00
2015-11-4 15:19:34, 683.59, 18.36, 65.05, 0.00, 0.00
2015-11-4 15:29:36, 678.71, 17.87, 64.17, 0.00, 0.00
2015-11-4 15:39:37, 683.59, 18.36, 65.05, 0.00, 0.00
2015-11-4 15:49:38, 673.83, 17.38, 63.29, 0.01, 0.00
2015-11-4 15:59:39, 673.83, 17.38, 63.29, 0.00, 0.00
2015-11-4 16:909:41, 673.83, 17.38, 63.29, 0.01, 0.00
2015-11-4 16:19:43, 668.95, 16.89, 62.41, 0.00, 0.00
2015-11-4 16:29:44, 668.95, 16.89, 62.41, 0.00, 0.00
2015-11-4 16:39:46, 659.18, 15.92, 60.65, 0.00, 0.00
2015-11-4 16:49:46, 664.06, 16.41, 61.53, 0.02, 0.00
2015-11-4 16:59:47, 659.18, 15.92, 60.65, 0.00, 0.00
2015-11-4 17:909:48, 654.30, 15.43, 59.77, 0.01, 0.00
2015-11-4 17:19:49, 659.18, 15.92, 60.65, 0.03, 0.01
2015-11-4 17:29:50, 659.18, 15.92, 60.65, 0.01, 0.01
