33.9496, -83.3816
Jozie Lewis
Alyssa McDonald
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-8 14:33:28, 595.70, 9.57, 49.23, 0.05, 0.01
2015-11-8 14:43:29, 600.59, 10.06, 50.11, 0.06, 0.01
2015-11-8 14:53:30, 600.59, 10.06, 50.11, 0.05, 0.01
2015-11-8 15:03:31, 600.59, 10.06, 50.11, 0.03, 0.02
2015-11-8 15:13:31, 600.59, 10.06, 50.11, 0.02, 0.02
2015-11-8 15:23:32, 595.70, 9.57, 49.23, 0.12, 0.03
2015-11-8 15:33:32, 595.70, 9.57, 49.23, 0.02, 0.03
2015-11-8 15:43:33, 595.70, 9.57, 49.23, 0.00, 0.02
2015-11-8 15:53:34, 595.70, 9.57, 49.23, 0.05, 0.03
2015-11-8 16:03:34, 590.82, 9.08, 48.35, 0.06, 0.03
2015-11-8 16:13:35, 595.70, 9.57, 49.23, 0.06, 0.03
2015-11-8 16:23:36, 590.82, 9.08, 48.35, 0.08, 0.04
2015-11-8 16:33:37, 590.82, 9.08, 48.35, 0.05, 0.04
2015-11-8 16:43:37, 590.82, 9.08, 48.35, 0.04, 0.04
2015-11-8 16:53:38, 590.82, 9.08, 48.35, 0.02, 0.04
2015-11-8 17:03:39, 585.94, 8.59, 47.47, 0.01, 0.03
2015-11-8 17:13:40, 585.94, 8.59, 47.47, 0.09, 0.04
2015-11-8 17:23:40, 590.82, 9.08, 48.35, 0.06, 0.04
2015-11-8 17:33:41, 590.82, 9.08, 48.35, 0.08, 0.04
2015-11-8 17:43:42, 590.82, 9.08, 48.35, 0.09, 0.05
2015-11-8 17:53:43, 585.94, 8.59, 47.47, 0.05, 0.05
2015-11-8 18:03:43, 590.82, 9.08, 48.35, 0.01, 0.05
2015-11-8 18:13:44, 590.82, 9.08, 48.35, 0.01, 0.04
2015-11-8 18:23:45, 590.82, 9.08, 48.35, 0.05, 0.04
2015-11-8 18:33:45, 585.94, 8.59, 47.47, 0.05, 0.04
2015-11-8 18:43:46, 581.05, 8.11, 46.59, 0.02, 0.04
2015-11-8 18:53:47, 581.05, 8.11, 46.59, 0.13, 0.05
2015-11-8 19:03:48, 585.94, 8.59, 47.47, 0.06, 0.05
2015-11-8 19:13:48, 585.94, 8.59, 47.47, 0.10, 0.06
2015-11-8 19:23:49, 576.17, 7.62, 45.71, 0.08, 0.06
2015-11-8 19:33:49, 576.17, 7.62, 45.71, 0.02, 0.05
