33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-10 11:16:35, 639.65, 13.96, 57.14, 0.07, 0.01
2015-11-10 11:26:36, 639.65, 13.96, 57.14, 0.09, 0.02
2015-11-10 11:36:37, 634.77, 13.48, 56.26, 0.05, 0.02
2015-11-10 11:46:38, 634.77, 13.48, 56.26, 0.91, 0.11
2015-11-10 11:56:39, 639.65, 13.96, 57.14, 0.17, 0.11
2015-11-10 12:06:39, 639.65, 13.96, 57.14, 0.09, 0.11
2015-11-10 12:16:41, 644.53, 14.45, 58.02, 0.12, 0.11
2015-11-10 12:26:41, 649.41, 14.94, 58.89, 0.08, 0.11
2015-11-10 12:36:43, 649.41, 14.94, 58.89, 0.09, 0.11
2015-11-10 12:46:43, 649.41, 14.94, 58.89, 0.11, 0.11
2015-11-10 12:56:45, 654.30, 15.43, 59.77, 0.09, 0.11
2015-11-10 13:06:46, 649.41, 14.94, 58.89, 0.01, 0.10
2015-11-10 13:16:47, 654.30, 15.43, 59.77, 0.07, 0.09
2015-11-10 13:26:47, 654.30, 15.43, 59.77, 0.07, 0.09
2015-11-10 13:36:48, 664.06, 16.41, 61.53, 0.09, 0.09
2015-11-10 13:46:49, 664.06, 16.41, 61.53, 0.12, 0.09
2015-11-10 13:56:50, 668.95, 16.89, 62.41, 0.11, 0.10
2015-11-10 14:06:51, 668.95, 16.89, 62.41, 0.04, 0.09
2015-11-10 14:16:51, 668.95, 16.89, 62.41, 0.04, 0.09
2015-11-10 14:26:52, 673.83, 17.38, 63.29, 0.12, 0.09
2015-11-10 14:36:53, 678.71, 17.87, 64.17, 0.06, 0.09
2015-11-10 14:46:53, 678.71, 17.87, 64.17, 0.11, 0.09
2015-11-10 14:56:54, 683.59, 18.36, 65.05, 0.06, 0.09
2015-11-10 15:06:55, 678.71, 17.87, 64.17, 0.11, 0.09
2015-11-10 15:16:56, 683.59, 18.36, 65.05, 0.18, 0.10
