34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-7 12:40:59, 722.66, 22.27, 72.08, 0.08, 0.01
2015-11-7 12:51:01, 732.42, 23.24, 73.84, 0.09, 0.02
2015-11-7 13:101:02, 737.30, 23.73, 74.71, 0.07, 0.02
2015-11-7 13:11:03, 727.54, 22.75, 72.96, 0.02, 0.02
2015-11-7 13:21:04, 727.54, 22.75, 72.96, 0.01, 0.02
2015-11-7 13:31:06, 727.54, 22.75, 72.96, 0.05, 0.02
2015-11-7 13:41:07, 737.30, 23.73, 74.71, 0.00, 0.02
2015-11-7 13:51:08, 732.42, 23.24, 73.84, 0.12, 0.03
2015-11-7 14:101:09, 727.54, 22.75, 72.96, 0.09, 0.04
2015-11-7 14:11:11, 722.66, 22.27, 72.08, 0.05, 0.04
2015-11-7 14:21:13, 722.66, 22.27, 72.08, 0.14, 0.05
2015-11-7 14:31:14, 717.77, 21.78, 71.20, 0.18, 0.06
2015-11-7 14:41:15, 712.89, 21.29, 70.32, 0.04, 0.06
2015-11-7 14:51:17, 712.89, 21.29, 70.32, 0.09, 0.06
2015-11-7 15:101:18, 712.89, 21.29, 70.32, 0.02, 0.06
2015-11-7 15:11:19, 703.13, 20.31, 68.56, 0.01, 0.05
2015-11-7 15:21:21, 703.13, 20.31, 68.56, 0.00, 0.05
2015-11-7 15:31:22, 703.13, 20.31, 68.56, 0.01, 0.04
2015-11-7 15:41:23, 703.13, 20.31, 68.56, 0.00, 0.04
2015-11-7 15:51:25, 703.13, 20.31, 68.56, 0.00, 0.04
2015-11-7 16:101:25, 698.24, 19.82, 67.68, 0.03, 0.04
2015-11-7 16:11:27, 693.36, 19.34, 66.80, 0.05, 0.04
2015-11-7 16:21:28, 693.36, 19.34, 66.80, 0.00, 0.03
2015-11-7 16:31:30, 693.36, 19.34, 66.80, 0.09, 0.04
2015-11-7 16:41:30, 693.36, 19.34, 66.80, 0.02, 0.04
2015-11-7 16:51:32, 688.48, 18.85, 65.93, 0.00, 0.03
2015-11-7 17:101:33, 678.71, 17.87, 64.17, 0.04, 0.03
2015-11-7 17:11:35, 678.71, 17.87, 64.17, 0.06, 0.04
2015-11-7 17:21:35, 683.59, 18.36, 65.05, 0.04, 0.04
2015-11-7 17:31:36, 683.59, 18.36, 65.05, 0.02, 0.03
2015-11-7 17:41:37, 683.59, 18.36, 65.05, 0.05, 0.04
2015-11-7 17:51:38, 683.59, 18.36, 65.05, 0.21, 0.05
2015-11-7 18:101:40, 683.59, 18.36, 65.05, 0.19, 0.07
2015-11-7 18:11:41, 678.71, 17.87, 64.17, 0.11, 0.07
2015-11-7 18:21:41, 673.83, 17.38, 63.29, 0.10, 0.07
2015-11-7 18:31:43, 673.83, 17.38, 63.29, 0.13, 0.08
2015-11-7 18:41:43, 668.95, 16.89, 62.41, 0.08, 0.08
2015-11-7 18:51:45, 664.06, 16.41, 61.53, 0.00, 0.07
