33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-6 10:58:29, 703.13, 20.31, 68.56, 0.11, 0.01
2015-11-6 11:08:30, 703.13, 20.31, 68.56, 0.14, 0.02
2015-11-6 11:18:32, 712.89, 21.29, 70.32, 0.10, 0.03
2015-11-6 11:28:32, 712.89, 21.29, 70.32, 0.11, 0.04
2015-11-6 11:38:33, 712.89, 21.29, 70.32, 0.16, 0.05
2015-11-6 11:48:34, 712.89, 21.29, 70.32, 0.13, 0.06
2015-11-6 11:58:34, 712.89, 21.29, 70.32, 0.16, 0.07
2015-11-6 12:08:35, 712.89, 21.29, 70.32, 0.16, 0.08
2015-11-6 12:18:36, 712.89, 21.29, 70.32, 0.13, 0.08
2015-11-6 12:28:36, 717.77, 21.78, 71.20, 0.17, 0.09
2015-11-6 12:38:37, 722.66, 22.27, 72.08, 0.23, 0.11
2015-11-6 12:48:38, 717.77, 21.78, 71.20, 0.18, 0.11
