33.950327,  -83.380366
Cole Madray
Stephanie Petros
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-7 0:37:08, 688.48, 18.85, 65.93, 0.10, 0.01
2015-11-7 0:47:09, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 0:57:10, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 1:07:11, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-7 1:17:12, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 1:27:13, 693.36, 19.34, 66.80, 0.01, 0.01
2015-11-7 1:37:14, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 1:47:15, 688.48, 18.85, 65.93, 0.02, 0.01
2015-11-7 1:57:16, 693.36, 19.34, 66.80, 0.03, 0.01
2015-11-7 2:07:17, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 2:17:18, 683.59, 18.36, 65.05, 0.06, 0.01
2015-11-7 2:27:18, 693.36, 19.34, 66.80, 0.03, 0.01
2015-11-7 2:37:19, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 2:47:20, 688.48, 18.85, 65.93, 0.04, 0.02
2015-11-7 2:57:20, 688.48, 18.85, 65.93, 0.06, 0.02
2015-11-7 3:07:21, 688.48, 18.85, 65.93, 0.00, 0.02
2015-11-7 3:17:22, 693.36, 19.34, 66.80, 0.00, 0.02
2015-11-7 3:27:23, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 3:37:24, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 3:47:25, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 3:57:26, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 4:07:27, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-7 4:17:28, 688.48, 18.85, 65.93, 0.10, 0.02
2015-11-7 4:27:29, 693.36, 19.34, 66.80, 0.00, 0.02
2015-11-7 4:37:30, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 4:47:31, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 4:57:32, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 5:07:33, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 5:17:34, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 5:27:35, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 5:37:36, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 5:47:37, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 5:57:38, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-7 6:07:38, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-7 6:17:39, 693.36, 19.34, 66.80, 0.03, 0.01
2015-11-7 6:27:40, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 6:37:41, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 6:47:42, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 6:57:43, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 7:07:43, 693.36, 19.34, 66.80, 0.01, 0.01
2015-11-7 7:17:44, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 7:27:45, 693.36, 19.34, 66.80, 0.00, 0.00
2015-11-7 7:37:46, 693.36, 19.34, 66.80, 0.00, 0.00
2015-11-7 7:47:47, 688.48, 18.85, 65.93, 0.00, 0.00
2015-11-7 7:57:48, 688.48, 18.85, 65.93, 0.00, 0.00
2015-11-7 8:07:49, 693.36, 19.34, 66.80, 0.00, 0.00
2015-11-7 8:17:50, 688.48, 18.85, 65.93, 0.00, 0.00
2015-11-7 8:27:51, 693.36, 19.34, 66.80, 0.00, 0.00
2015-11-7 8:37:51, 664.06, 16.41, 61.53, 0.12, 0.01
2015-11-7 8:47:52, 668.95, 16.89, 62.41, 0.04, 0.02
2015-11-7 8:57:53, 668.95, 16.89, 62.41, 0.02, 0.02
2015-11-7 9:07:53, 673.83, 17.38, 63.29, 0.00, 0.01
2015-11-7 9:17:54, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-7 9:27:55, 673.83, 17.38, 63.29, 0.01, 0.01
2015-11-7 9:37:57, 673.83, 17.38, 63.29, 0.04, 0.02
2015-11-7 9:47:57, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-7 9:57:58, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-7 10:07:59, 678.71, 17.87, 64.17, 0.03, 0.01
2015-11-7 10:18:00, 688.48, 18.85, 65.93, 0.02, 0.02
2015-11-7 10:28:01, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 10:38:01, 693.36, 19.34, 66.80, 0.01, 0.01
2015-11-7 10:48:02, 698.24, 19.82, 67.68, 0.10, 0.02
2015-11-7 10:58:03, 698.24, 19.82, 67.68, 0.00, 0.02
2015-11-7 11:08:04, 698.24, 19.82, 67.68, 0.02, 0.02
2015-11-7 11:18:05, 703.13, 20.31, 68.56, 0.00, 0.02
2015-11-7 11:28:06, 708.01, 20.80, 69.44, 0.00, 0.02
2015-11-7 11:38:07, 712.89, 21.29, 70.32, 0.00, 0.01
2015-11-7 11:48:07, 708.01, 20.80, 69.44, 0.03, 0.02
2015-11-7 11:58:09, 708.01, 20.80, 69.44, 0.01, 0.02
2015-11-7 12:08:10, 712.89, 21.29, 70.32, 0.00, 0.01
2015-11-7 12:18:11, 703.13, 20.31, 68.56, 0.00, 0.01
2015-11-7 12:28:11, 703.13, 20.31, 68.56, 0.01, 0.01
2015-11-7 12:38:12, 708.01, 20.80, 69.44, 0.00, 0.01
2015-11-7 12:48:13, 703.13, 20.31, 68.56, 0.00, 0.01
2015-11-7 12:58:14, 703.13, 20.31, 68.56, 0.00, 0.01
2015-11-7 13:08:15, 708.01, 20.80, 69.44, 0.00, 0.01
2015-11-7 13:18:16, 712.89, 21.29, 70.32, 0.00, 0.01
2015-11-7 13:28:17, 717.77, 21.78, 71.20, 0.00, 0.01
2015-11-7 13:38:18, 717.77, 21.78, 71.20, 0.00, 0.01
2015-11-7 13:48:19, 717.77, 21.78, 71.20, 0.01, 0.01
2015-11-7 13:58:20, 717.77, 21.78, 71.20, 0.00, 0.01
2015-11-7 14:08:20, 717.77, 21.78, 71.20, 0.00, 0.01
2015-11-7 14:18:21, 717.77, 21.78, 71.20, 0.00, 0.01
2015-11-7 14:28:22, 717.77, 21.78, 71.20, 0.00, 0.00
2015-11-7 14:38:23, 722.66, 22.27, 72.08, 0.02, 0.01
2015-11-7 14:48:25, 717.77, 21.78, 71.20, 0.01, 0.01
2015-11-7 14:58:26, 712.89, 21.29, 70.32, 0.00, 0.01
2015-11-7 15:08:27, 712.89, 21.29, 70.32, 0.00, 0.01
2015-11-7 15:18:28, 712.89, 21.29, 70.32, 0.00, 0.01
2015-11-7 15:28:29, 712.89, 21.29, 70.32, 0.00, 0.01
2015-11-7 15:38:30, 708.01, 20.80, 69.44, 0.00, 0.00
2015-11-7 15:48:31, 708.01, 20.80, 69.44, 0.00, 0.00
2015-11-7 15:58:32, 712.89, 21.29, 70.32, 0.00, 0.00
2015-11-7 16:08:32, 708.01, 20.80, 69.44, 0.00, 0.00
2015-11-7 16:18:33, 708.01, 20.80, 69.44, 0.00, 0.00
2015-11-7 16:28:34, 708.01, 20.80, 69.44, 0.00, 0.00
2015-11-7 16:38:35, 708.01, 20.80, 69.44, 0.00, 0.00
2015-11-7 16:48:36, 708.01, 20.80, 69.44, 0.00, 0.00
2015-11-7 16:58:37, 708.01, 20.80, 69.44, 0.00, 0.00
2015-11-7 17:08:38, 703.13, 20.31, 68.56, 0.00, 0.00
2015-11-7 17:18:39, 703.13, 20.31, 68.56, 0.00, 0.00
2015-11-7 17:28:40, 703.13, 20.31, 68.56, 0.01, 0.00
2015-11-7 17:38:41, 703.13, 20.31, 68.56, 0.00, 0.00
2015-11-7 17:48:42, 698.24, 19.82, 67.68, 0.00, 0.00
2015-11-7 17:58:43, 698.24, 19.82, 67.68, 0.06, 0.01
2015-11-7 18:08:44, 698.24, 19.82, 67.68, 0.02, 0.01
2015-11-7 18:18:45, 698.24, 19.82, 67.68, 0.00, 0.01
2015-11-7 18:28:45, 698.24, 19.82, 67.68, 0.02, 0.01
2015-11-7 18:38:46, 693.36, 19.34, 66.80, 0.03, 0.01
2015-11-7 18:48:47, 693.36, 19.34, 66.80, 0.06, 0.02
2015-11-7 18:58:48, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-7 19:08:49, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 19:18:50, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-7 19:28:51, 693.36, 19.34, 66.80, 0.09, 0.02
2015-11-7 19:38:52, 693.36, 19.34, 66.80, 0.06, 0.02
2015-11-7 19:48:52, 693.36, 19.34, 66.80, 0.20, 0.04
2015-11-7 19:58:53, 693.36, 19.34, 66.80, 0.12, 0.05
2015-11-7 20:08:55, 688.48, 18.85, 65.93, 0.22, 0.07
2015-11-7 20:18:56, 688.48, 18.85, 65.93, 0.25, 0.09
2015-11-7 20:28:56, 688.48, 18.85, 65.93, 0.19, 0.10
2015-11-7 20:38:57, 688.48, 18.85, 65.93, 0.13, 0.10
2015-11-7 20:48:57, 693.36, 19.34, 66.80, 0.07, 0.10
2015-11-7 20:58:57, 693.36, 19.34, 66.80, 0.07, 0.09
2015-11-7 21:08:58, 688.48, 18.85, 65.93, 0.02, 0.09
2015-11-7 21:18:58, 688.48, 18.85, 65.93, 0.00, 0.08
2015-11-7 21:28:59, 688.48, 18.85, 65.93, 0.00, 0.07
2015-11-7 21:39:01, 683.59, 18.36, 65.05, 0.01, 0.06
2015-11-7 21:49:02, 683.59, 18.36, 65.05, 0.00, 0.06
2015-11-7 21:59:03, 683.59, 18.36, 65.05, 0.00, 0.05
2015-11-7 22:09:03, 683.59, 18.36, 65.05, 0.01, 0.05
2015-11-7 22:19:04, 683.59, 18.36, 65.05, 0.00, 0.04
2015-11-7 22:29:05, 683.59, 18.36, 65.05, 0.00, 0.04
2015-11-7 22:39:06, 683.59, 18.36, 65.05, 0.02, 0.04
2015-11-7 22:49:07, 678.71, 17.87, 64.17, 0.01, 0.03
2015-11-7 22:59:08, 678.71, 17.87, 64.17, 0.00, 0.03
2015-11-7 23:09:09, 683.59, 18.36, 65.05, 0.00, 0.03
2015-11-7 23:19:10, 678.71, 17.87, 64.17, 0.02, 0.03
2015-11-7 23:29:11, 678.71, 17.87, 64.17, 0.03, 0.03
2015-11-7 23:39:12, 683.59, 18.36, 65.05, 0.02, 0.03
2015-11-7 23:49:12, 678.71, 17.87, 64.17, 0.04, 0.03
2015-11-7 23:59:13, 678.71, 17.87, 64.17, 0.27, 0.05
2015-11-8 0:09:14, 673.83, 17.38, 63.29, 0.07, 0.05
2015-11-8 0:19:15, 668.95, 16.89, 62.41, 0.14, 0.06
2015-11-8 0:29:16, 668.95, 16.89, 62.41, 0.06, 0.06
2015-11-8 0:39:17, 668.95, 16.89, 62.41, 0.12, 0.07
2015-11-8 0:49:18, 668.95, 16.89, 62.41, 0.22, 0.08
2015-11-8 0:59:19, 668.95, 16.89, 62.41, 0.19, 0.09
2015-11-8 1:09:20, 678.71, 17.87, 64.17, 0.18, 0.10
2015-11-8 1:19:21, 668.95, 16.89, 62.41, 0.28, 0.12
2015-11-8 1:29:23, 668.95, 16.89, 62.41, 0.16, 0.12
2015-11-8 1:39:24, 673.83, 17.38, 63.29, 0.12, 0.12
2015-11-8 1:49:25, 664.06, 16.41, 61.53, 0.26, 0.14
2015-11-8 1:59:26, 664.06, 16.41, 61.53, 0.24, 0.15
2015-11-8 2:09:26, 668.95, 16.89, 62.41, 0.08, 0.14
2015-11-8 2:19:27, 668.95, 16.89, 62.41, 0.29, 0.16
