33.9497, -83.3804
Raahul Soundappan
Amanda Moller
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-4 16:45:47, 708.01, 20.80, 69.44, 0.05, 0.00
2015-11-4 16:55:48, 698.24, 19.82, 67.68, 0.02, 0.01
2015-11-4 17:05:50, 693.36, 19.34, 66.80, 0.04, 0.01
2015-11-4 17:15:51, 688.48, 18.85, 65.93, 0.01, 0.01
2015-11-4 17:25:52, 688.48, 18.85, 65.93, 0.04, 0.01
2015-11-4 17:35:53, 688.48, 18.85, 65.93, 0.08, 0.02
2015-11-4 17:45:54, 688.48, 18.85, 65.93, 0.03, 0.02
2015-11-4 17:55:55, 688.48, 18.85, 65.93, 0.10, 0.03
2015-11-4 18:05:56, 683.59, 18.36, 65.05, 0.05, 0.03
2015-11-4 18:15:57, 688.48, 18.85, 65.93, 0.04, 0.03
2015-11-4 18:25:58, 688.48, 18.85, 65.93, 0.07, 0.04
2015-11-4 18:35:59, 683.59, 18.36, 65.05, 0.04, 0.04
2015-11-4 18:46:00, 683.59, 18.36, 65.05, 0.03, 0.04
2015-11-4 18:56:01, 688.48, 18.85, 65.93, 0.16, 0.05
2015-11-4 19:06:02, 683.59, 18.36, 65.05, 0.17, 0.06
2015-11-4 19:16:03, 678.71, 17.87, 64.17, 0.03, 0.06
2015-11-4 19:26:04, 678.71, 17.87, 64.17, 0.10, 0.06
2015-11-4 19:36:05, 678.71, 17.87, 64.17, 0.05, 0.06
2015-11-4 19:46:06, 683.59, 18.36, 65.05, 0.05, 0.06
2015-11-4 19:56:07, 678.71, 17.87, 64.17, 0.24, 0.08
2015-11-4 20:06:08, 678.71, 17.87, 64.17, 0.09, 0.08
2015-11-4 20:16:09, 673.83, 17.38, 63.29, 0.02, 0.07
2015-11-4 20:26:10, 678.71, 17.87, 64.17, 0.03, 0.07
2015-11-4 20:36:11, 683.59, 18.36, 65.05, 0.04, 0.06
2015-11-4 20:46:12, 683.59, 18.36, 65.05, 0.03, 0.06
2015-11-4 20:56:13, 678.71, 17.87, 64.17, 0.06, 0.06
2015-11-4 21:06:14, 678.71, 17.87, 64.17, 0.14, 0.07
2015-11-4 21:16:15, 678.71, 17.87, 64.17, 0.11, 0.07
2015-11-4 21:26:16, 678.71, 17.87, 64.17, 0.15, 0.08
2015-11-4 21:36:17, 673.83, 17.38, 63.29, 0.08, 0.08
2015-11-4 21:46:18, 673.83, 17.38, 63.29, 0.07, 0.08
2015-11-4 21:56:19, 678.71, 17.87, 64.17, 0.03, 0.07
2015-11-4 22:06:20, 673.83, 17.38, 63.29, 0.17, 0.08
