33.948901, -83.378378
Ashley Sirmans
Matthew Mooney
Time, Voltage (V), Temp (C), Temp (F), Raw %, filtered
2015-11-7 14:54:22, 620.12, 12.01, 53.62,0.06,0.01
2015-11-7 15:04:23, 576.17, 7.62, 45.71,0.10,0.02
2015-11-7 15:14:25, 629.88, 12.99, 55.38,0.04,0.02
2015-11-7 15:24:27, 625.00, 12.50, 54.50,0.14,0.03
2015-11-7 15:34:28, 595.70, 9.57, 49.23,0.06,0.03
2015-11-7 15:44:30, 571.29, 7.13, 44.83,0.01,0.03
2015-11-7 15:54:31, 620.12, 12.01, 53.62,0.01,0.03
2015-11-7 16:04:32, 610.35, 11.04, 51.86,0.07,0.03
2015-11-7 16:14:34, 610.35, 11.04, 51.86,0.07,0.04
2015-11-7 16:24:36, 541.99, 4.20, 39.56,0.01,0.03
2015-11-7 16:34:37, 576.17, 7.62, 45.71,0.05,0.04
2015-11-7 16:44:39, 541.99, 4.20, 39.56,0.03,0.04
2015-11-7 16:54:40, 644.53, 14.45, 58.02,0.05,0.04
2015-11-7 17:04:41, 605.47, 10.55, 50.98,0.05,0.04
2015-11-7 17:14:43, 629.88, 12.99, 55.38,0.02,0.04
2015-11-7 17:24:44, 595.70, 9.57, 49.23,0.01,0.03
2015-11-7 17:34:45, 634.77, 13.48, 56.26,0.08,0.04
2015-11-7 17:44:47, 625.00, 12.50, 54.50,0.32,0.07
2015-11-7 17:54:47, 605.47, 10.55, 50.98,0.47,0.11
2015-11-7 18:04:48, 649.41, 14.94, 58.89,0.28,0.12
2015-11-7 18:14:49, 629.88, 12.99, 55.38,0.20,0.13
2015-11-7 18:24:51, 634.77, 13.48, 56.26,0.17,0.14
2015-11-7 18:34:52, 639.65, 13.96, 57.14,0.18,0.14
2015-11-7 18:44:53, 625.00, 12.50, 54.50,0.23,0.15
2015-11-7 18:54:54, 629.88, 12.99, 55.38,0.31,0.16
2015-11-7 19:04:55, 600.59, 10.06, 50.11,0.23,0.17
2015-11-7 19:14:56, 600.59, 10.06, 50.11,0.16,0.17
2015-11-7 19:24:57, 615.23, 11.52, 52.74,0.28,0.18
2015-11-7 19:34:59, 649.41, 14.94, 58.89,0.50,0.21
2015-11-7 19:45:01, 615.23, 11.52, 52.74,0.13,0.20
2015-11-7 19:55:02, 595.70, 9.57, 49.23,0.14,0.20
2015-11-7 20:05:03, 605.47, 10.55, 50.98,0.06,0.18
2015-11-7 20:15:04, 571.29, 7.13, 44.83,0.02,0.17
2015-11-7 20:25:06, 634.77, 13.48, 56.26,0.09,0.16
2015-11-7 20:35:07, 644.53, 14.45, 58.02,0.04,0.15
2015-11-7 20:45:08, 625.00, 12.50, 54.50,0.04,0.14
2015-11-7 20:55:09, 600.59, 10.06, 50.11,0.06,0.13
2015-11-7 21:05:10, 595.70, 9.57, 49.23,0.02,0.12
2015-11-7 21:15:12, 615.23, 11.52, 52.74,0.04,0.11
2015-11-7 21:25:13, 629.88, 12.99, 55.38,0.05,0.11
2015-11-7 21:35:14, 615.23, 11.52, 52.74,0.05,0.10
2015-11-7 21:45:16, 629.88, 12.99, 55.38,0.08,0.10
2015-11-7 21:55:17, 590.82, 9.08, 48.35,0.02,0.09
2015-11-7 22:05:18, 644.53, 14.45, 58.02,0.04,0.08
2015-11-7 22:15:19, 644.53, 14.45, 58.02,0.04,0.08
2015-11-7 22:25:21, 629.88, 12.99, 55.38,0.05,0.08
2015-11-7 22:35:22, 659.18, 15.92, 60.65,0.86,0.16
2015-11-7 22:45:23, 605.47, 10.55, 50.98,0.25,0.16
2015-11-7 22:55:25, 629.88, 12.99, 55.38,0.08,0.16
2015-11-7 23:05:26, 649.41, 14.94, 58.89,0.05,0.15
2015-11-7 23:15:28, 605.47, 10.55, 50.98,0.03,0.13
2015-11-7 23:25:29, 610.35, 11.04, 51.86,0.08,0.13
2015-11-7 23:35:30, 649.41, 14.94, 58.89,0.01,0.12
2015-11-7 23:45:31, 639.65, 13.96, 57.14,0.06,0.11
