34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-4 18:23:15, 4.88, -49.51, -57.12, 0.08, 0.01
2015-11-4 18:33:17, 4.88, -49.51, -57.12, 0.00, 0.01
2015-11-4 18:43:18, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 18:53:20, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 19:303:21, 0.00, -50.00, -58.00, 0.05, 0.01
2015-11-4 19:13:23, 4.88, -49.51, -57.12, 0.00, 0.01
2015-11-4 19:23:24, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 19:33:26, 0.00, -50.00, -58.00, 0.01, 0.01
2015-11-4 19:43:26, 0.00, -50.00, -58.00, 0.04, 0.01
2015-11-4 19:53:28, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 20:303:29, 4.88, -49.51, -57.12, 0.00, 0.01
2015-11-4 20:13:30, 0.00, -50.00, -58.00, 0.03, 0.01
2015-11-4 20:23:32, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 20:33:32, 0.00, -50.00, -58.00, 0.03, 0.01
2015-11-4 20:43:33, 0.00, -50.00, -58.00, 0.03, 0.02
2015-11-4 20:53:34, 0.00, -50.00, -58.00, 0.01, 0.01
2015-11-4 21:303:35, 0.00, -50.00, -58.00, 0.05, 0.02
2015-11-4 21:13:36, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-4 21:23:38, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 21:33:38, 0.00, -50.00, -58.00, 0.06, 0.02
2015-11-4 21:43:40, 0.00, -50.00, -58.00, 0.01, 0.02
2015-11-4 21:53:41, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-4 22:303:43, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-4 22:13:44, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 22:23:46, 0.00, -50.00, -58.00, 0.04, 0.02
2015-11-4 22:33:47, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 22:43:49, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 22:53:50, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-4 23:303:52, 0.00, -50.00, -58.00, 0.09, 0.02
2015-11-4 23:13:53, 0.00, -50.00, -58.00, 0.04, 0.02
2015-11-4 23:23:53, 0.00, -50.00, -58.00, 0.03, 0.02
2015-11-4 23:33:55, 0.00, -50.00, -58.00, 0.02, 0.02
2015-11-4 23:43:55, 0.00, -50.00, -58.00, 0.02, 0.02
2015-11-4 23:53:57, 0.00, -50.00, -58.00, 0.03, 0.02
2015-11-5 0:303:58, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 0:14:00, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 0:24:01, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 0:34:03, 4.88, -49.51, -57.12, 0.07, 0.02
2015-11-5 0:44:04, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 0:54:05, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 1:404:06, 0.00, -50.00, -58.00, 0.02, 0.02
2015-11-5 1:14:08, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 1:24:09, 0.00, -50.00, -58.00, 0.02, 0.02
2015-11-5 1:34:09, 0.00, -50.00, -58.00, 0.03, 0.02
2015-11-5 1:44:10, 0.00, -50.00, -58.00, 0.09, 0.03
2015-11-5 1:54:12, 0.00, -50.00, -58.00, 0.01, 0.02
2015-11-5 2:404:13, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 2:14:15, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 2:24:16, 0.00, -50.00, -58.00, 0.02, 0.02
2015-11-5 2:34:18, 0.00, -50.00, -58.00, 0.10, 0.03
2015-11-5 2:44:18, 0.00, -50.00, -58.00, 0.05, 0.03
2015-11-5 2:54:20, 0.00, -50.00, -58.00, 0.00, 0.03
2015-11-5 3:404:21, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 3:14:23, 0.00, -50.00, -58.00, 0.01, 0.02
2015-11-5 3:24:24, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 3:34:26, 0.00, -50.00, -58.00, 0.02, 0.02
2015-11-5 3:44:27, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 3:54:29, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 4:404:30, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 4:14:31, 0.00, -50.00, -58.00, 0.01, 0.01
2015-11-5 4:24:32, 0.00, -50.00, -58.00, 0.05, 0.02
2015-11-5 4:34:34, 0.00, -50.00, -58.00, 0.00, 0.02
2015-11-5 4:44:35, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 4:54:37, 0.00, -50.00, -58.00, 0.02, 0.02
2015-11-5 5:404:38, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 5:14:40, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 5:24:41, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 5:34:42, 0.00, -50.00, -58.00, 0.01, 0.01
2015-11-5 5:44:43, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 5:54:44, 0.00, -50.00, -58.00, 0.04, 0.01
2015-11-5 6:404:46, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 6:14:47, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 6:24:49, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 6:34:50, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 6:44:52, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 6:54:53, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 7:404:55, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 7:14:56, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 7:24:57, 0.00, -50.00, -58.00, 0.03, 0.01
2015-11-5 7:34:59, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 7:45:00, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 7:55:01, 0.00, -50.00, -58.00, 0.01, 0.01
2015-11-5 8:505:02, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 8:15:03, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 8:25:05, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 8:35:06, 0.00, -50.00, -58.00, 0.02, 0.01
2015-11-5 8:45:07, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 8:55:08, 0.00, -50.00, -58.00, 0.01, 0.01
2015-11-5 9:505:09, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 9:15:10, 0.00, -50.00, -58.00, 0.01, 0.01
2015-11-5 9:25:11, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 9:35:13, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 9:45:14, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 9:55:15, 0.00, -50.00, -58.00, 0.02, 0.01
2015-11-5 10:505:16, 4.88, -49.51, -57.12, 0.01, 0.01
2015-11-5 10:15:18, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 10:25:19, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 10:35:20, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 10:45:22, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 10:55:24, 0.00, -50.00, -58.00, 0.00, 0.00
2015-11-5 11:505:25, 0.00, -50.00, -58.00, 0.00, 0.00
2015-11-5 11:15:27, 0.00, -50.00, -58.00, 0.00, 0.00
2015-11-5 11:25:28, 0.00, -50.00, -58.00, 0.00, 0.00
2015-11-5 11:35:30, 0.00, -50.00, -58.00, 0.00, 0.00
2015-11-5 11:45:31, 0.00, -50.00, -58.00, 0.04, 0.01
2015-11-5 11:55:32, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 12:505:33, 0.00, -50.00, -58.00, 0.04, 0.01
2015-11-5 12:15:35, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 12:25:36, 0.00, -50.00, -58.00, 0.05, 0.01
2015-11-5 12:35:37, 0.00, -50.00, -58.00, 0.02, 0.01
2015-11-5 12:45:39, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 12:55:40, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 13:505:41, 0.00, -50.00, -58.00, 0.07, 0.02
2015-11-5 13:15:42, 0.00, -50.00, -58.00, 0.02, 0.02
2015-11-5 13:25:44, 0.00, -50.00, -58.00, 0.01, 0.02
2015-11-5 13:35:45, 0.00, -50.00, -58.00, 0.01, 0.02
2015-11-5 13:45:46, 0.00, -50.00, -58.00, 0.00, 0.01
2015-11-5 13:55:48, 0.00, -50.00, -58.00, 0.00, 0.01
