34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-9 12:37:58, 668.95, 16.89, 62.41, 0.12, 0.01
2015-11-9 12:47:59, 668.95, 16.89, 62.41, 0.08, 0.02
2015-11-9 12:58:00, 668.95, 16.89, 62.41, 0.05, 0.02
2015-11-9 13:808:01, 683.59, 18.36, 65.05, 0.01, 0.02
2015-11-9 13:18:02, 683.59, 18.36, 65.05, 0.09, 0.03
2015-11-9 13:28:03, 683.59, 18.36, 65.05, 0.06, 0.03
2015-11-9 13:38:05, 673.83, 17.38, 63.29, 0.05, 0.03
2015-11-9 13:48:06, 688.48, 18.85, 65.93, 0.03, 0.03
2015-11-9 13:58:07, 688.48, 18.85, 65.93, 0.16, 0.05
2015-11-9 14:808:08, 693.36, 19.34, 66.80, 0.12, 0.05
2015-11-9 14:18:09, 688.48, 18.85, 65.93, 0.00, 0.05
2015-11-9 14:28:10, 688.48, 18.85, 65.93, 0.00, 0.04
2015-11-9 14:38:12, 683.59, 18.36, 65.05, 0.00, 0.04
2015-11-9 14:48:13, 693.36, 19.34, 66.80, 0.00, 0.03
2015-11-9 14:58:15, 688.48, 18.85, 65.93, 0.00, 0.03
2015-11-9 15:808:16, 688.48, 18.85, 65.93, 0.00, 0.03
2015-11-9 15:18:17, 688.48, 18.85, 65.93, 0.01, 0.03
2015-11-9 15:28:19, 683.59, 18.36, 65.05, 0.00, 0.02
2015-11-9 15:38:20, 683.59, 18.36, 65.05, 0.00, 0.02
2015-11-9 15:48:21, 683.59, 18.36, 65.05, 0.00, 0.02
2015-11-9 15:58:22, 678.71, 17.87, 64.17, 0.01, 0.02
2015-11-9 16:808:24, 678.71, 17.87, 64.17, 0.05, 0.02
2015-11-9 16:18:26, 678.71, 17.87, 64.17, 0.03, 0.02
2015-11-9 16:28:27, 678.71, 17.87, 64.17, 0.00, 0.02
2015-11-9 16:38:27, 688.48, 18.85, 65.93, 0.03, 0.02
2015-11-9 16:48:28, 688.48, 18.85, 65.93, 0.07, 0.03
2015-11-9 16:58:30, 688.48, 18.85, 65.93, 0.04, 0.03
2015-11-9 17:808:31, 693.36, 19.34, 66.80, 0.09, 0.03
2015-11-9 17:18:33, 693.36, 19.34, 66.80, 0.18, 0.05
2015-11-9 17:28:34, 688.48, 18.85, 65.93, 0.10, 0.05
2015-11-9 17:38:35, 683.59, 18.36, 65.05, 0.02, 0.05
2015-11-9 17:48:37, 688.48, 18.85, 65.93, 0.05, 0.05
2015-11-9 17:58:38, 688.48, 18.85, 65.93, 0.09, 0.05
2015-11-9 18:808:39, 678.71, 17.87, 64.17, 0.09, 0.06
2015-11-9 18:18:40, 688.48, 18.85, 65.93, 0.00, 0.05
2015-11-9 18:28:42, 683.59, 18.36, 65.05, 0.06, 0.05
2015-11-9 18:38:43, 688.48, 18.85, 65.93, 0.09, 0.06
2015-11-9 18:48:44, 683.59, 18.36, 65.05, 0.01, 0.05
2015-11-9 18:58:45, 683.59, 18.36, 65.05, 0.00, 0.05
2015-11-9 19:808:47, 683.59, 18.36, 65.05, 0.07, 0.05
2015-11-9 19:18:48, 683.59, 18.36, 65.05, 0.02, 0.05
2015-11-9 19:28:49, 683.59, 18.36, 65.05, 0.02, 0.04
2015-11-9 19:38:50, 683.59, 18.36, 65.05, 0.02, 0.04
2015-11-9 19:48:50, 683.59, 18.36, 65.05, 0.27, 0.06
2015-11-9 19:58:52, 683.59, 18.36, 65.05, 0.18, 0.08
2015-11-9 20:808:53, 683.59, 18.36, 65.05, 0.08, 0.08
2015-11-9 20:18:54, 683.59, 18.36, 65.05, 0.09, 0.08
2015-11-9 20:28:55, 688.48, 18.85, 65.93, 0.02, 0.07
