33.948901, -83.378378
Ashley Sirmans
Matthew Mooney
Time, Voltage (V), Temp (C), Temp (F), Raw %, filtered
2015-11-9 11:02:43, 566.41, 6.64, 43.95,0.10,0.01
2015-11-9 11:12:44, 590.82, 9.08, 48.35,0.11,0.02
2015-11-9 11:22:45, 620.12, 12.01, 53.62,0.02,0.02
2015-11-9 11:32:47, 629.88, 12.99, 55.38,0.04,0.02
2015-11-9 11:42:48, 625.00, 12.50, 54.50,0.07,0.03
2015-11-9 11:52:48, 620.12, 12.01, 53.62,0.06,0.03
2015-11-9 12:02:49, 639.65, 13.96, 57.14,0.09,0.04
2015-11-9 12:12:50, 581.05, 8.11, 46.59,0.10,0.04
2015-11-9 12:22:51, 605.47, 10.55, 50.98,0.07,0.05
2015-11-9 12:32:52, 610.35, 11.04, 51.86,0.03,0.04
2015-11-9 12:42:53, 644.53, 14.45, 58.02,0.05,0.04
2015-11-9 12:52:55, 610.35, 11.04, 51.86,0.07,0.05
2015-11-9 13:02:57, 634.77, 13.48, 56.26,0.06,0.05
2015-11-9 13:12:58, 639.65, 13.96, 57.14,0.02,0.05
2015-11-9 13:22:59, 625.00, 12.50, 54.50,0.02,0.04
2015-11-9 13:33:01, 620.12, 12.01, 53.62,0.01,0.04
2015-11-9 13:43:02, 595.70, 9.57, 49.23,0.01,0.04
2015-11-9 13:53:04, 566.41, 6.64, 43.95,0.06,0.04
2015-11-9 14:03:06, 620.12, 12.01, 53.62,0.01,0.04
2015-11-9 14:13:07, 600.59, 10.06, 50.11,0.10,0.04
2015-11-9 14:23:08, 595.70, 9.57, 49.23,0.04,0.04
2015-11-9 14:33:09, 595.70, 9.57, 49.23,0.09,0.05
2015-11-9 14:43:10, 634.77, 13.48, 56.26,0.06,0.05
2015-11-9 14:53:12, 615.23, 11.52, 52.74,0.00,0.04
2015-11-9 15:03:13, 605.47, 10.55, 50.98,0.02,0.04
2015-11-9 15:13:14, 590.82, 9.08, 48.35,0.02,0.04
2015-11-9 15:23:15, 600.59, 10.06, 50.11,0.01,0.04
2015-11-9 15:33:16, 634.77, 13.48, 56.26,0.02,0.04
2015-11-9 15:43:17, 620.12, 12.01, 53.62,0.02,0.03
2015-11-9 15:53:18, 629.88, 12.99, 55.38,0.10,0.04
2015-11-9 16:03:19, 615.23, 11.52, 52.74,0.04,0.04
2015-11-9 16:13:20, 605.47, 10.55, 50.98,0.06,0.04
2015-11-9 16:23:21, 634.77, 13.48, 56.26,0.02,0.04
2015-11-9 16:33:23, 644.53, 14.45, 58.02,0.10,0.05
2015-11-9 16:43:23, 590.82, 9.08, 48.35,0.08,0.05
2015-11-9 16:53:25, 600.59, 10.06, 50.11,0.07,0.05
2015-11-9 17:03:26, 620.12, 12.01, 53.62,0.06,0.05
2015-11-9 17:13:27, 615.23, 11.52, 52.74,0.04,0.05
2015-11-9 17:23:28, 629.88, 12.99, 55.38,0.16,0.06
2015-11-9 17:33:29, 576.17, 7.62, 45.71,0.09,0.06
2015-11-9 17:43:31, 639.65, 13.96, 57.14,0.11,0.07
2015-11-9 17:53:32, 595.70, 9.57, 49.23,0.12,0.07
2015-11-9 18:03:33, 629.88, 12.99, 55.38,0.08,0.07
2015-11-9 18:13:34, 634.77, 13.48, 56.26,0.16,0.08
2015-11-9 18:23:36, 615.23, 11.52, 52.74,0.13,0.09
2015-11-9 18:33:37, 649.41, 14.94, 58.89,0.10,0.09
2015-11-9 18:43:39, 620.12, 12.01, 53.62,0.06,0.09
2015-11-9 18:53:40, 634.77, 13.48, 56.26,0.02,0.08
2015-11-9 19:03:41, 654.30, 15.43, 59.77,0.09,0.08
2015-11-9 19:13:43, 620.12, 12.01, 53.62,0.17,0.09
2015-11-9 19:23:44, 639.65, 13.96, 57.14,0.27,0.11
2015-11-9 19:33:45, 537.11, 3.71, 38.68,0.08,0.10
2015-11-9 19:43:45, 581.05, 8.11, 46.59,0.29,0.12
2015-11-9 19:53:46, 605.47, 10.55, 50.98,0.19,0.13
2015-11-9 20:03:47, 625.00, 12.50, 54.50,0.15,0.13
2015-11-9 20:13:48, 654.30, 15.43, 59.77,0.06,0.13
2015-11-9 20:23:50, 629.88, 12.99, 55.38,0.04,0.12
2015-11-9 20:33:51, 654.30, 15.43, 59.77,0.03,0.11
2015-11-9 20:43:53, 605.47, 10.55, 50.98,0.06,0.10
2015-11-9 20:53:54, 605.47, 10.55, 50.98,0.11,0.10
2015-11-9 21:03:56, 629.88, 12.99, 55.38,0.05,0.10
2015-11-9 21:13:58, 639.65, 13.96, 57.14,0.09,0.10
2015-11-9 21:23:59, 620.12, 12.01, 53.62,0.04,0.09
2015-11-9 21:34:01, 649.41, 14.94, 58.89,0.08,0.09
2015-11-9 21:44:02, 644.53, 14.45, 58.02,0.09,0.09
2015-11-9 21:54:03, 590.82, 9.08, 48.35,0.06,0.09
