33.9496, -83.3816
Jozie Lewis
Alyssa McDonald
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-6 10:58:23, 698.24, 19.82, 67.68, 0.08, 0.01
2015-11-6 11:08:23, 703.13, 20.31, 68.56, 0.04, 0.01
2015-11-6 11:18:24, 703.13, 20.31, 68.56, 0.05, 0.02
2015-11-6 11:28:25, 708.01, 20.80, 69.44, 0.14, 0.03
2015-11-6 11:38:26, 708.01, 20.80, 69.44, 0.07, 0.03
2015-11-6 11:48:27, 708.01, 20.80, 69.44, 0.13, 0.04
2015-11-6 11:58:27, 712.89, 21.29, 70.32, 0.08, 0.05
2015-11-6 12:08:28, 708.01, 20.80, 69.44, 0.16, 0.06
2015-11-6 12:18:29, 712.89, 21.29, 70.32, 0.14, 0.07
2015-11-6 12:28:30, 712.89, 21.29, 70.32, 0.09, 0.07
2015-11-6 12:38:30, 712.89, 21.29, 70.32, 0.14, 0.08
2015-11-6 12:48:31, 717.77, 21.78, 71.20, 0.15, 0.08
