33.9497, -83.3804
Raahul Soundappan
Amanda Moller
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-6 10:58:27, 722.66, 22.27, 72.08, 0.05, 0.00
2015-11-6 11:08:28, 727.54, 22.75, 72.96, 0.06, 0.01
2015-11-6 11:18:29, 727.54, 22.75, 72.96, 0.06, 0.02
2015-11-6 11:28:31, 727.54, 22.75, 72.96, 0.06, 0.02
2015-11-6 11:38:32, 732.42, 23.24, 73.84, 0.08, 0.03
2015-11-6 11:48:33, 727.54, 22.75, 72.96, 0.14, 0.04
2015-11-6 11:58:34, 732.42, 23.24, 73.84, 0.13, 0.05
2015-11-6 12:08:35, 732.42, 23.24, 73.84, 0.07, 0.05
2015-11-6 12:18:36, 732.42, 23.24, 73.84, 0.16, 0.06
2015-11-6 12:28:37, 737.30, 23.73, 74.71, 0.20, 0.07
2015-11-6 12:38:38, 737.30, 23.73, 74.71, 0.16, 0.08
2015-11-6 12:48:39, 737.30, 23.73, 74.71, 0.20, 0.09
