33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-5 17:15:58, 678.71, 17.87, 64.17, 0.12, 0.01
2015-11-5 17:25:59, 678.71, 17.87, 64.17, 0.17, 0.03
2015-11-5 17:35:59, 678.71, 17.87, 64.17, 0.13, 0.04
2015-11-5 17:46:00, 678.71, 17.87, 64.17, 0.06, 0.04
2015-11-5 17:56:01, 678.71, 17.87, 64.17, 0.15, 0.05
2015-11-5 18:06:02, 678.71, 17.87, 64.17, 0.11, 0.06
2015-11-5 18:16:03, 678.71, 17.87, 64.17, 0.16, 0.07
2015-11-5 18:26:04, 683.59, 18.36, 65.05, 0.12, 0.07
2015-11-5 18:36:05, 683.59, 18.36, 65.05, 0.16, 0.08
2015-11-5 18:46:06, 673.83, 17.38, 63.29, 0.10, 0.08
2015-11-5 18:56:06, 673.83, 17.38, 63.29, 0.18, 0.09
2015-11-5 19:06:07, 678.71, 17.87, 64.17, 0.18, 0.10
2015-11-5 19:16:09, 673.83, 17.38, 63.29, 0.11, 0.10
2015-11-5 19:26:10, 673.83, 17.38, 63.29, 0.16, 0.11
2015-11-5 19:36:10, 678.71, 17.87, 64.17, 0.13, 0.11
2015-11-5 19:46:11, 673.83, 17.38, 63.29, 0.14, 0.11
2015-11-5 19:56:11, 678.71, 17.87, 64.17, 0.14, 0.12
2015-11-5 20:06:12, 673.83, 17.38, 63.29, 0.27, 0.13
2015-11-5 20:16:13, 678.71, 17.87, 64.17, 0.18, 0.14
2015-11-5 20:26:14, 678.71, 17.87, 64.17, 0.24, 0.15
2015-11-5 20:36:15, 678.71, 17.87, 64.17, 0.22, 0.15
2015-11-5 20:46:16, 673.83, 17.38, 63.29, 0.22, 0.16
2015-11-5 20:56:18, 678.71, 17.87, 64.17, 0.21, 0.17
2015-11-5 21:06:18, 673.83, 17.38, 63.29, 0.26, 0.18
2015-11-5 21:16:19, 673.83, 17.38, 63.29, 0.20, 0.18
2015-11-5 21:26:20, 673.83, 17.38, 63.29, 0.26, 0.19
2015-11-5 21:36:20, 678.71, 17.87, 64.17, 0.23, 0.19
2015-11-5 21:46:22, 673.83, 17.38, 63.29, 0.30, 0.20
2015-11-5 21:56:22, 678.71, 17.87, 64.17, 0.29, 0.21
2015-11-5 22:06:23, 678.71, 17.87, 64.17, 0.34, 0.22
2015-11-5 22:16:24, 678.71, 17.87, 64.17, 0.24, 0.22
2015-11-5 22:26:24, 678.71, 17.87, 64.17, 0.69, 0.27
2015-11-5 22:36:25, 683.59, 18.36, 65.05, 0.31, 0.28
2015-11-5 22:46:26, 673.83, 17.38, 63.29, 0.43, 0.29
2015-11-5 22:56:26, 678.71, 17.87, 64.17, 0.23, 0.28
2015-11-5 23:06:27, 678.71, 17.87, 64.17, 0.22, 0.28
2015-11-5 23:16:28, 678.71, 17.87, 64.17, 0.70, 0.32
2015-11-5 23:26:29, 673.83, 17.38, 63.29, 0.58, 0.35
2015-11-5 23:36:30, 673.83, 17.38, 63.29, 0.53, 0.36
2015-11-5 23:46:31, 678.71, 17.87, 64.17, 0.41, 0.37
2015-11-5 23:56:32, 678.71, 17.87, 64.17, 0.19, 0.35
2015-11-6 0:06:34, 678.71, 17.87, 64.17, 0.14, 0.33
2015-11-6 0:16:35, 678.71, 17.87, 64.17, 0.44, 0.34
2015-11-6 0:26:36, 678.71, 17.87, 64.17, 0.34, 0.34
2015-11-6 0:36:36, 678.71, 17.87, 64.17, 0.33, 0.34
2015-11-6 0:46:37, 678.71, 17.87, 64.17, 0.31, 0.34
2015-11-6 0:56:37, 683.59, 18.36, 65.05, 0.24, 0.33
2015-11-6 1:06:38, 678.71, 17.87, 64.17, 0.30, 0.32
2015-11-6 1:16:39, 678.71, 17.87, 64.17, 0.35, 0.33
2015-11-6 1:26:40, 678.71, 17.87, 64.17, 0.51, 0.34
2015-11-6 1:36:41, 683.59, 18.36, 65.05, 0.81, 0.39
2015-11-6 1:46:41, 678.71, 17.87, 64.17, 0.64, 0.42
2015-11-6 1:56:42, 683.59, 18.36, 65.05, 0.75, 0.45
2015-11-6 2:06:43, 673.83, 17.38, 63.29, 0.56, 0.46
2015-11-6 2:16:43, 678.71, 17.87, 64.17, 0.55, 0.47
2015-11-6 2:26:45, 683.59, 18.36, 65.05, 0.48, 0.47
2015-11-6 2:36:45, 678.71, 17.87, 64.17, 0.54, 0.48
2015-11-6 2:46:46, 683.59, 18.36, 65.05, 0.37, 0.47
2015-11-6 2:56:46, 678.71, 17.87, 64.17, 0.40, 0.46
2015-11-6 3:06:47, 678.71, 17.87, 64.17, 0.39, 0.45
2015-11-6 3:16:47, 678.71, 17.87, 64.17, 0.41, 0.45
2015-11-6 3:26:48, 678.71, 17.87, 64.17, 0.39, 0.44
2015-11-6 3:36:49, 683.59, 18.36, 65.05, 0.41, 0.44
2015-11-6 3:46:50, 678.71, 17.87, 64.17, 0.46, 0.44
2015-11-6 3:56:51, 683.59, 18.36, 65.05, 0.54, 0.45
2015-11-6 4:06:53, 678.71, 17.87, 64.17, 1.27, 0.53
2015-11-6 4:16:53, 678.71, 17.87, 64.17, 0.80, 0.56
2015-11-6 4:26:53, 683.59, 18.36, 65.05, 0.62, 0.57
2015-11-6 4:36:55, 683.59, 18.36, 65.05, 0.45, 0.55
