33.948901, -83.378378
Ashley Sirmans
Matthew Mooney
Time, Voltage (V), Temp (C), Temp (F), Raw %, filtered
2015-11-6 11:51:43, 551.76, 5.18, 41.32,0.29,0.03
2015-11-6 12:01:44, 571.29, 7.13, 44.83,0.07,0.03
2015-11-6 12:11:45, 610.35, 11.04, 51.86,0.03,0.03
2015-11-6 12:21:46, 576.17, 7.62, 45.71,0.04,0.03
2015-11-6 12:31:47, 590.82, 9.08, 48.35,0.06,0.04
2015-11-6 12:41:48, 595.70, 9.57, 49.23,0.02,0.03
2015-11-6 12:51:49, 546.88, 4.69, 40.44,0.02,0.03
2015-11-6 13:01:50, 576.17, 7.62, 45.71,0.11,0.04
2015-11-6 13:11:52, 561.52, 6.15, 43.07,0.07,0.04
2015-11-6 13:21:53, 527.34, 2.73, 36.92,0.11,0.05
2015-11-6 13:31:55, 551.76, 5.18, 41.32,0.11,0.06
2015-11-6 13:41:55, 590.82, 9.08, 48.35,0.25,0.08
2015-11-6 13:51:57, 585.94, 8.59, 47.47,0.34,0.10
2015-11-6 14:01:58, 585.94, 8.59, 47.47,0.28,0.12
2015-11-6 14:11:59, 576.17, 7.62, 45.71,0.20,0.13
2015-11-6 14:22:00, 581.05, 8.11, 46.59,0.09,0.12
2015-11-6 14:32:02, 576.17, 7.62, 45.71,0.11,0.12
2015-11-6 14:42:04, 566.41, 6.64, 43.95,0.06,0.12
2015-11-6 14:52:05, 576.17, 7.62, 45.71,0.03,0.11
2015-11-6 15:02:06, 585.94, 8.59, 47.47,0.03,0.10
2015-11-6 15:12:07, 551.76, 5.18, 41.32,0.11,0.10
2015-11-6 15:22:08, 571.29, 7.13, 44.83,0.07,0.10
2015-11-6 15:32:10, 576.17, 7.62, 45.71,0.06,0.09
2015-11-6 15:42:11, 595.70, 9.57, 49.23,0.08,0.09
2015-11-6 15:52:12, 556.64, 5.66, 42.20,0.13,0.10
2015-11-6 16:02:14, 551.76, 5.18, 41.32,0.06,0.09
2015-11-6 16:12:15, 590.82, 9.08, 48.35,0.04,0.09
2015-11-6 16:22:16, 571.29, 7.13, 44.83,0.13,0.09
2015-11-6 16:32:18, 581.05, 8.11, 46.59,0.01,0.08
2015-11-6 16:42:20, 576.17, 7.62, 45.71,0.06,0.08
2015-11-6 16:52:21, 537.11, 3.71, 38.68,0.18,0.09
2015-11-6 17:02:23, 541.99, 4.20, 39.56,1.05,0.19
2015-11-6 17:12:24, 527.34, 2.73, 36.92,2.25,0.39
2015-11-6 17:22:25, 527.34, 2.73, 36.92,0.55,0.41
2015-11-6 17:32:26, 527.34, 2.73, 36.92,0.33,0.40
2015-11-6 17:42:27, 507.81, 0.78, 33.41,0.17,0.38
2015-11-6 17:52:28, 512.70, 1.27, 34.29,0.22,0.36
2015-11-6 18:02:29, 454.10, -4.59, 23.74,0.21,0.35
2015-11-6 18:12:30, 517.58, 1.76, 35.16,0.18,0.33
2015-11-6 18:22:32, 527.34, 2.73, 36.92,0.16,0.31
2015-11-6 18:32:33, 512.70, 1.27, 34.29,0.13,0.29
2015-11-6 18:42:35, 532.23, 3.22, 37.80,0.11,0.28
2015-11-6 18:52:37, 502.93, 0.29, 32.53,0.16,0.26
2015-11-6 19:02:38, 493.16, -0.68, 30.77,0.10,0.25
2015-11-6 19:12:40, 473.63, -2.64, 27.25,0.13,0.24
2015-11-6 19:22:42, 639.65, 13.96, 57.14,0.07,0.22
2015-11-6 19:32:43, 639.65, 13.96, 57.14,0.11,0.21
2015-11-6 19:42:44, 625.00, 12.50, 54.50,0.07,0.19
2015-11-6 19:52:46, 649.41, 14.94, 58.89,0.12,0.19
2015-11-6 20:02:47, 620.12, 12.01, 53.62,0.08,0.18
2015-11-6 20:12:48, 654.30, 15.43, 59.77,0.04,0.16
2015-11-6 20:22:49, 595.70, 9.57, 49.23,0.07,0.15
2015-11-6 20:32:51, 644.53, 14.45, 58.02,0.04,0.14
2015-11-6 20:42:52, 659.18, 15.92, 60.65,0.06,0.13
2015-11-6 20:52:53, 634.77, 13.48, 56.26,0.02,0.12
2015-11-6 21:02:54, 625.00, 12.50, 54.50,0.11,0.12
2015-11-6 21:12:55, 625.00, 12.50, 54.50,0.02,0.11
2015-11-6 21:22:56, 634.77, 13.48, 56.26,0.03,0.10
2015-11-6 21:32:57, 625.00, 12.50, 54.50,0.07,0.10
2015-11-6 21:42:58, 654.30, 15.43, 59.77,0.03,0.09
2015-11-6 21:52:59, 625.00, 12.50, 54.50,0.06,0.09
2015-11-6 22:03:01, 610.35, 11.04, 51.86,0.06,0.09
2015-11-6 22:13:02, 639.65, 13.96, 57.14,0.07,0.08
2015-11-6 22:23:03, 639.65, 13.96, 57.14,0.52,0.13
2015-11-6 22:33:04, 581.05, 8.11, 46.59,0.28,0.14
2015-11-6 22:43:05, 600.59, 10.06, 50.11,0.18,0.15
2015-11-6 22:53:07, 620.12, 12.01, 53.62,0.24,0.16
