33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-6 18:44:12, 698.24, 19.82, 67.68, 0.23, 0.02
2015-11-6 18:54:13, 693.36, 19.34, 66.80, 0.24, 0.04
2015-11-6 19:04:14, 698.24, 19.82, 67.68, 0.30, 0.07
2015-11-6 19:14:15, 698.24, 19.82, 67.68, 0.16, 0.08
2015-11-6 19:24:16, 703.13, 20.31, 68.56, 0.16, 0.09
2015-11-6 19:34:17, 698.24, 19.82, 67.68, 0.23, 0.10
2015-11-6 19:44:19, 698.24, 19.82, 67.68, 0.33, 0.12
2015-11-6 19:54:20, 703.13, 20.31, 68.56, 0.24, 0.13
2015-11-6 20:04:20, 703.13, 20.31, 68.56, 0.21, 0.14
2015-11-6 20:14:22, 698.24, 19.82, 67.68, 0.12, 0.14
2015-11-6 20:24:22, 698.24, 19.82, 67.68, 0.31, 0.16
2015-11-6 20:34:23, 703.13, 20.31, 68.56, 0.32, 0.17
2015-11-6 20:44:24, 698.24, 19.82, 67.68, 0.31, 0.19
2015-11-6 20:54:25, 703.13, 20.31, 68.56, 0.19, 0.19
2015-11-6 21:04:26, 698.24, 19.82, 67.68, 0.37, 0.21
2015-11-6 21:14:27, 698.24, 19.82, 67.68, 0.29, 0.21
2015-11-6 21:24:27, 703.13, 20.31, 68.56, 0.17, 0.21
2015-11-6 21:34:29, 698.24, 19.82, 67.68, 0.29, 0.22
2015-11-6 21:44:29, 703.13, 20.31, 68.56, 0.43, 0.24
2015-11-6 21:54:29, 698.24, 19.82, 67.68, 0.15, 0.23
2015-11-6 22:04:30, 693.36, 19.34, 66.80, 0.18, 0.22
2015-11-6 22:14:31, 698.24, 19.82, 67.68, 0.17, 0.22
2015-11-6 22:24:32, 698.24, 19.82, 67.68, 0.29, 0.23
2015-11-6 22:34:33, 693.36, 19.34, 66.80, 0.27, 0.23
2015-11-6 22:44:34, 698.24, 19.82, 67.68, 0.34, 0.24
2015-11-6 22:54:35, 698.24, 19.82, 67.68, 0.31, 0.25
2015-11-6 23:04:36, 698.24, 19.82, 67.68, 0.28, 0.25
2015-11-6 23:14:36, 693.36, 19.34, 66.80, 0.27, 0.25
2015-11-6 23:24:38, 693.36, 19.34, 66.80, 0.20, 0.25
2015-11-6 23:34:38, 698.24, 19.82, 67.68, 0.25, 0.25
2015-11-6 23:44:39, 698.24, 19.82, 67.68, 0.39, 0.26
2015-11-6 23:54:40, 698.24, 19.82, 67.68, 0.36, 0.27
2015-11-7 0:04:41, 698.24, 19.82, 67.68, 0.26, 0.27
2015-11-7 0:14:41, 698.24, 19.82, 67.68, 0.33, 0.28
2015-11-7 0:24:43, 698.24, 19.82, 67.68, 0.50, 0.30
2015-11-7 0:34:44, 693.36, 19.34, 66.80, 0.56, 0.32
2015-11-7 0:44:44, 688.48, 18.85, 65.93, 0.46, 0.34
2015-11-7 0:54:45, 693.36, 19.34, 66.80, 0.38, 0.34
2015-11-7 1:04:45, 693.36, 19.34, 66.80, 0.30, 0.34
2015-11-7 1:14:47, 693.36, 19.34, 66.80, 0.40, 0.34
2015-11-7 1:24:48, 698.24, 19.82, 67.68, 0.49, 0.36
2015-11-7 1:34:49, 698.24, 19.82, 67.68, 0.40, 0.36
2015-11-7 1:44:50, 693.36, 19.34, 66.80, 0.40, 0.37
2015-11-7 1:54:51, 693.36, 19.34, 66.80, 0.32, 0.36
2015-11-7 2:04:51, 698.24, 19.82, 67.68, 0.25, 0.35
2015-11-7 2:14:52, 693.36, 19.34, 66.80, 0.16, 0.33
2015-11-7 2:24:53, 693.36, 19.34, 66.80, 0.27, 0.33
