33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-9 11:35:29, 600.59, 10.06, 50.11, 0.01, 0.00
2015-11-9 11:45:31, 595.70, 9.57, 49.23, 0.05, 0.01
2015-11-9 11:55:32, 600.59, 10.06, 50.11, 0.03, 0.01
2015-11-9 12:05:32, 600.59, 10.06, 50.11, 0.00, 0.01
2015-11-9 12:15:33, 595.70, 9.57, 49.23, 0.02, 0.01
2015-11-9 12:25:33, 600.59, 10.06, 50.11, 0.00, 0.01
2015-11-9 12:35:35, 605.47, 10.55, 50.98, 0.03, 0.01
2015-11-9 12:45:35, 600.59, 10.06, 50.11, 0.02, 0.01
2015-11-9 12:55:36, 605.47, 10.55, 50.98, 0.11, 0.02
2015-11-9 13:05:38, 605.47, 10.55, 50.98, 0.02, 0.02
2015-11-9 13:15:38, 600.59, 10.06, 50.11, 0.07, 0.03
2015-11-9 13:25:39, 600.59, 10.06, 50.11, 0.00, 0.02
2015-11-9 13:35:39, 605.47, 10.55, 50.98, 0.06, 0.03
2015-11-9 13:45:40, 610.35, 11.04, 51.86, 0.02, 0.03
2015-11-9 13:55:41, 605.47, 10.55, 50.98, 0.04, 0.03
2015-11-9 14:05:42, 610.35, 11.04, 51.86, 0.02, 0.03
2015-11-9 14:15:42, 610.35, 11.04, 51.86, 0.04, 0.03
2015-11-9 14:25:43, 610.35, 11.04, 51.86, 0.02, 0.03
2015-11-9 14:35:44, 610.35, 11.04, 51.86, 0.04, 0.03
2015-11-9 14:45:45, 610.35, 11.04, 51.86, 0.03, 0.03
2015-11-9 14:55:45, 615.23, 11.52, 52.74, 0.04, 0.03
2015-11-9 15:05:46, 605.47, 10.55, 50.98, 0.08, 0.03
2015-11-9 15:15:47, 610.35, 11.04, 51.86, 0.07, 0.04
2015-11-9 15:25:48, 610.35, 11.04, 51.86, 0.10, 0.04
2015-11-9 15:35:49, 610.35, 11.04, 51.86, 0.08, 0.05
2015-11-9 15:45:49, 610.35, 11.04, 51.86, 0.07, 0.05
2015-11-9 15:55:51, 610.35, 11.04, 51.86, 0.09, 0.05
2015-11-9 16:05:51, 610.35, 11.04, 51.86, 0.05, 0.05
2015-11-9 16:15:52, 610.35, 11.04, 51.86, 0.08, 0.06
2015-11-9 16:25:53, 610.35, 11.04, 51.86, 0.05, 0.06
2015-11-9 16:35:54, 605.47, 10.55, 50.98, 0.10, 0.06
2015-11-9 16:45:55, 610.35, 11.04, 51.86, 0.00, 0.05
2015-11-9 16:55:56, 605.47, 10.55, 50.98, 0.14, 0.06
2015-11-9 17:05:56, 610.35, 11.04, 51.86, 0.18, 0.07
