33.9497, -83.3804
Raahul Soundappan
Amanda Moller
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-6 18:44:09, 717.77, 21.78, 71.20, 0.18, 0.02
2015-11-6 18:54:10, 712.89, 21.29, 70.32, 0.31, 0.05
2015-11-6 19:04:10, 717.77, 21.78, 71.20, 0.19, 0.06
2015-11-6 19:14:12, 717.77, 21.78, 71.20, 0.29, 0.08
2015-11-6 19:24:13, 717.77, 21.78, 71.20, 0.25, 0.10
2015-11-6 19:34:14, 712.89, 21.29, 70.32, 0.27, 0.12
2015-11-6 19:44:15, 717.77, 21.78, 71.20, 0.34, 0.14
2015-11-6 19:54:16, 717.77, 21.78, 71.20, 0.25, 0.15
2015-11-6 20:04:17, 717.77, 21.78, 71.20, 0.16, 0.15
2015-11-6 20:14:18, 712.89, 21.29, 70.32, 0.25, 0.16
2015-11-6 20:24:19, 717.77, 21.78, 71.20, 0.23, 0.17
2015-11-6 20:34:20, 717.77, 21.78, 71.20, 0.36, 0.19
2015-11-6 20:44:21, 712.89, 21.29, 70.32, 0.36, 0.20
2015-11-6 20:54:22, 717.77, 21.78, 71.20, 0.26, 0.21
2015-11-6 21:04:23, 717.77, 21.78, 71.20, 0.16, 0.20
2015-11-6 21:14:24, 717.77, 21.78, 71.20, 0.28, 0.21
2015-11-6 21:24:25, 717.77, 21.78, 71.20, 0.24, 0.22
2015-11-6 21:34:26, 717.77, 21.78, 71.20, 0.20, 0.21
2015-11-6 21:44:27, 712.89, 21.29, 70.32, 0.36, 0.23
2015-11-6 21:54:28, 717.77, 21.78, 71.20, 0.42, 0.25
2015-11-6 22:04:29, 717.77, 21.78, 71.20, 0.19, 0.24
2015-11-6 22:14:31, 712.89, 21.29, 70.32, 0.36, 0.25
2015-11-6 22:24:32, 717.77, 21.78, 71.20, 0.19, 0.25
2015-11-6 22:34:33, 712.89, 21.29, 70.32, 0.35, 0.26
2015-11-6 22:44:34, 717.77, 21.78, 71.20, 0.57, 0.29
2015-11-6 22:54:35, 712.89, 21.29, 70.32, 0.20, 0.28
2015-11-6 23:04:36, 717.77, 21.78, 71.20, 0.24, 0.28
2015-11-6 23:14:37, 712.89, 21.29, 70.32, 0.25, 0.27
2015-11-6 23:24:38, 712.89, 21.29, 70.32, 0.30, 0.28
2015-11-6 23:34:39, 712.89, 21.29, 70.32, 0.33, 0.28
2015-11-6 23:44:40, 708.01, 20.80, 69.44, 0.31, 0.28
2015-11-6 23:54:41, 708.01, 20.80, 69.44, 0.34, 0.29
2015-11-7 0:04:42, 712.89, 21.29, 70.32, 0.39, 0.30
2015-11-7 0:14:43, 708.01, 20.80, 69.44, 0.44, 0.31
2015-11-7 0:24:44, 712.89, 21.29, 70.32, 0.40, 0.32
2015-11-7 0:34:45, 712.89, 21.29, 70.32, 0.47, 0.34
2015-11-7 0:44:46, 712.89, 21.29, 70.32, 0.64, 0.37
2015-11-7 0:54:47, 712.89, 21.29, 70.32, 0.36, 0.37
2015-11-7 1:04:49, 712.89, 21.29, 70.32, 0.50, 0.38
2015-11-7 1:14:49, 712.89, 21.29, 70.32, 0.31, 0.37
2015-11-7 1:24:50, 712.89, 21.29, 70.32, 0.55, 0.39
2015-11-7 1:34:51, 708.01, 20.80, 69.44, 0.28, 0.38
2015-11-7 1:44:52, 712.89, 21.29, 70.32, 0.35, 0.38
2015-11-7 1:54:53, 708.01, 20.80, 69.44, 0.56, 0.40
2015-11-7 2:04:54, 712.89, 21.29, 70.32, 0.30, 0.39
2015-11-7 2:14:55, 712.89, 21.29, 70.32, 0.27, 0.37
2015-11-7 2:24:56, 712.89, 21.29, 70.32, 0.23, 0.36
2015-11-7 2:34:57, 712.89, 21.29, 70.32, 0.30, 0.35
2015-11-7 2:44:58, 712.89, 21.29, 70.32, 0.25, 0.34
2015-11-7 2:54:59, 712.89, 21.29, 70.32, 0.25, 0.33
2015-11-7 3:05:01, 712.89, 21.29, 70.32, 0.48, 0.35
2015-11-7 3:15:02, 712.89, 21.29, 70.32, 0.27, 0.34
2015-11-7 3:25:03, 712.89, 21.29, 70.32, 0.29, 0.34
2015-11-7 3:35:03, 712.89, 21.29, 70.32, 0.32, 0.33
2015-11-7 3:45:04, 717.77, 21.78, 71.20, 0.30, 0.33
2015-11-7 3:55:05, 717.77, 21.78, 71.20, 0.31, 0.33
2015-11-7 4:05:06, 712.89, 21.29, 70.32, 0.11, 0.31
2015-11-7 4:15:07, 712.89, 21.29, 70.32, 0.21, 0.30
2015-11-7 4:25:08, 712.89, 21.29, 70.32, 0.19, 0.29
2015-11-7 4:35:09, 712.89, 21.29, 70.32, 0.19, 0.28
2015-11-7 4:45:10, 712.89, 21.29, 70.32, 0.17, 0.27
2015-11-7 4:55:10, 712.89, 21.29, 70.32, 0.18, 0.26
2015-11-7 5:05:11, 712.89, 21.29, 70.32, 0.12, 0.24
2015-11-7 5:15:12, 708.01, 20.80, 69.44, 0.18, 0.24
2015-11-7 5:25:13, 712.89, 21.29, 70.32, 0.27, 0.24
