33.948901, -83.378378
Ashley Sirmans
Matthew Mooney
Time, Voltage (V), Temp (C), Temp (F), Raw %, filtered
2015-11-5 11:14:14, 620.12, 12.01, 53.62,0.03,0.00
2015-11-5 11:24:15, 610.35, 11.04, 51.86,0.07,0.01
2015-11-5 11:34:17, 620.12, 12.01, 53.62,0.06,0.01
2015-11-5 11:44:18, 585.94, 8.59, 47.47,0.01,0.01
2015-11-5 11:54:20, 625.00, 12.50, 54.50,0.05,0.02
2015-11-5 12:04:21, 634.77, 13.48, 56.26,0.05,0.02
2015-11-5 12:14:22, 576.17, 7.62, 45.71,0.01,0.02
2015-11-5 12:24:23, 634.77, 13.48, 56.26,0.06,0.02
2015-11-5 12:34:25, 625.00, 12.50, 54.50,0.03,0.02
2015-11-5 12:44:26, 610.35, 11.04, 51.86,0.08,0.03
2015-11-5 12:54:27, 595.70, 9.57, 49.23,0.06,0.03
2015-11-5 13:04:29, 571.29, 7.13, 44.83,0.06,0.04
2015-11-5 13:14:30, 615.23, 11.52, 52.74,0.03,0.03
2015-11-5 13:24:32, 615.23, 11.52, 52.74,0.02,0.03
2015-11-5 13:34:33, 615.23, 11.52, 52.74,0.04,0.03
2015-11-5 13:44:35, 634.77, 13.48, 56.26,0.02,0.03
2015-11-5 13:54:36, 615.23, 11.52, 52.74,0.02,0.03
2015-11-5 14:04:37, 625.00, 12.50, 54.50,0.05,0.03
2015-11-5 14:14:38, 620.12, 12.01, 53.62,0.16,0.05
2015-11-5 14:24:40, 615.23, 11.52, 52.74,0.05,0.05
2015-11-5 14:34:42, 605.47, 10.55, 50.98,0.05,0.05
2015-11-5 14:44:43, 625.00, 12.50, 54.50,0.09,0.05
2015-11-5 14:54:44, 639.65, 13.96, 57.14,0.07,0.05
2015-11-5 15:04:44, 610.35, 11.04, 51.86,0.04,0.05
2015-11-5 15:14:46, 610.35, 11.04, 51.86,0.03,0.05
2015-11-5 15:24:47, 600.59, 10.06, 50.11,0.05,0.05
2015-11-5 15:34:48, 629.88, 12.99, 55.38,0.05,0.05
2015-11-5 15:44:50, 634.77, 13.48, 56.26,0.07,0.05
2015-11-5 15:54:51, 615.23, 11.52, 52.74,0.03,0.05
2015-11-5 16:04:52, 590.82, 9.08, 48.35,0.04,0.05
2015-11-5 16:14:53, 644.53, 14.45, 58.02,0.03,0.05
2015-11-5 16:24:53, 629.88, 12.99, 55.38,0.01,0.04
2015-11-5 16:34:54, 615.23, 11.52, 52.74,0.05,0.04
2015-11-5 16:44:56, 620.12, 12.01, 53.62,0.04,0.04
2015-11-5 16:54:57, 605.47, 10.55, 50.98,0.04,0.04
2015-11-5 17:04:58, 610.35, 11.04, 51.86,0.04,0.04
2015-11-5 17:14:59, 595.70, 9.57, 49.23,0.09,0.05
2015-11-5 17:25:01, 615.23, 11.52, 52.74,0.09,0.05
2015-11-5 17:35:02, 600.59, 10.06, 50.11,0.01,0.05
2015-11-5 17:45:03, 581.05, 8.11, 46.59,0.06,0.05
2015-11-5 17:55:05, 590.82, 9.08, 48.35,0.08,0.05
2015-11-5 18:05:07, 517.58, 1.76, 35.16,0.06,0.05
2015-11-5 18:15:08, 590.82, 9.08, 48.35,0.04,0.05
2015-11-5 18:25:10, 610.35, 11.04, 51.86,0.19,0.07
2015-11-5 18:35:10, 615.23, 11.52, 52.74,0.04,0.06
2015-11-5 18:45:12, 610.35, 11.04, 51.86,0.07,0.06
2015-11-5 18:55:13, 595.70, 9.57, 49.23,0.03,0.06
2015-11-5 19:05:15, 581.05, 8.11, 46.59,0.03,0.06
2015-11-5 19:15:15, 576.17, 7.62, 45.71,0.10,0.06
2015-11-5 19:25:17, 600.59, 10.06, 50.11,0.05,0.06
2015-11-5 19:35:19, 610.35, 11.04, 51.86,0.05,0.06
2015-11-5 19:45:20, 595.70, 9.57, 49.23,0.11,0.06
2015-11-5 19:55:22, 585.94, 8.59, 47.47,0.01,0.06
2015-11-5 20:05:23, 581.05, 8.11, 46.59,0.09,0.06
2015-11-5 20:15:24, 566.41, 6.64, 43.95,0.10,0.07
2015-11-5 20:25:25, 610.35, 11.04, 51.86,0.15,0.07
2015-11-5 20:35:26, 590.82, 9.08, 48.35,0.20,0.09
2015-11-5 20:45:28, 590.82, 9.08, 48.35,0.43,0.12
2015-11-5 20:55:30, 571.29, 7.13, 44.83,0.46,0.15
2015-11-5 21:05:32, 590.82, 9.08, 48.35,0.83,0.22
2015-11-5 21:15:33, 585.94, 8.59, 47.47,0.61,0.26
2015-11-5 21:25:34, 566.41, 6.64, 43.95,0.50,0.29
2015-11-5 21:35:36, 605.47, 10.55, 50.98,0.56,0.31
2015-11-5 21:45:38, 585.94, 8.59, 47.47,0.38,0.32
2015-11-5 21:55:39, 595.70, 9.57, 49.23,0.11,0.30
2015-11-5 22:05:39, 581.05, 8.11, 46.59,0.20,0.29
2015-11-5 22:15:41, 551.76, 5.18, 41.32,0.21,0.28
2015-11-5 22:25:42, 585.94, 8.59, 47.47,0.22,0.28
2015-11-5 22:35:43, 600.59, 10.06, 50.11,0.08,0.26
2015-11-5 22:45:44, 581.05, 8.11, 46.59,0.06,0.24
2015-11-5 22:55:45, 605.47, 10.55, 50.98,0.04,0.22
2015-11-5 23:05:47, 610.35, 11.04, 51.86,0.07,0.20
