33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-8 19:54:26, 615.23, 11.52, 52.74, 0.09, 0.01
2015-11-8 20:04:27, 610.35, 11.04, 51.86, 0.07, 0.01
2015-11-8 20:14:29, 610.35, 11.04, 51.86, 0.06, 0.02
2015-11-8 20:24:30, 610.35, 11.04, 51.86, 0.16, 0.03
2015-11-8 20:34:31, 600.59, 10.06, 50.11, 0.14, 0.04
2015-11-8 20:44:31, 605.47, 10.55, 50.98, 0.03, 0.04
2015-11-8 20:54:32, 605.47, 10.55, 50.98, 0.07, 0.05
2015-11-8 21:04:33, 605.47, 10.55, 50.98, 0.07, 0.05
2015-11-8 21:14:34, 605.47, 10.55, 50.98, 0.09, 0.05
2015-11-8 21:24:35, 600.59, 10.06, 50.11, 0.06, 0.05
2015-11-8 21:34:36, 600.59, 10.06, 50.11, 0.04, 0.05
2015-11-8 21:44:37, 605.47, 10.55, 50.98, 0.03, 0.05
2015-11-8 21:54:38, 605.47, 10.55, 50.98, 0.09, 0.05
2015-11-8 22:04:38, 605.47, 10.55, 50.98, 0.09, 0.06
2015-11-8 22:14:39, 600.59, 10.06, 50.11, 0.07, 0.06
2015-11-8 22:24:40, 605.47, 10.55, 50.98, 0.10, 0.06
2015-11-8 22:34:40, 600.59, 10.06, 50.11, 0.02, 0.06
2015-11-8 22:44:41, 600.59, 10.06, 50.11, 0.17, 0.07
2015-11-8 22:54:42, 605.47, 10.55, 50.98, 0.05, 0.07
2015-11-8 23:04:43, 605.47, 10.55, 50.98, 0.10, 0.07
2015-11-8 23:14:44, 600.59, 10.06, 50.11, 0.06, 0.07
2015-11-8 23:24:45, 595.70, 9.57, 49.23, 0.05, 0.07
2015-11-8 23:34:46, 595.70, 9.57, 49.23, 0.07, 0.07
2015-11-8 23:44:47, 600.59, 10.06, 50.11, 0.13, 0.07
2015-11-8 23:54:47, 600.59, 10.06, 50.11, 0.02, 0.07
2015-11-9 0:04:48, 600.59, 10.06, 50.11, 0.05, 0.07
2015-11-9 0:14:49, 600.59, 10.06, 50.11, 0.08, 0.07
2015-11-9 0:24:49, 595.70, 9.57, 49.23, 0.07, 0.07
2015-11-9 0:34:51, 595.70, 9.57, 49.23, 0.03, 0.07
2015-11-9 0:44:51, 595.70, 9.57, 49.23, 0.00, 0.06
2015-11-9 0:54:52, 600.59, 10.06, 50.11, 0.07, 0.06
2015-11-9 1:04:54, 600.59, 10.06, 50.11, 0.05, 0.06
2015-11-9 1:14:55, 600.59, 10.06, 50.11, 0.04, 0.06
2015-11-9 1:24:55, 600.59, 10.06, 50.11, 0.05, 0.06
2015-11-9 1:34:56, 600.59, 10.06, 50.11, 0.05, 0.06
2015-11-9 1:44:57, 595.70, 9.57, 49.23, 0.10, 0.06
2015-11-9 1:54:57, 600.59, 10.06, 50.11, 0.05, 0.06
2015-11-9 2:04:58, 600.59, 10.06, 50.11, 0.09, 0.06
2015-11-9 2:14:59, 600.59, 10.06, 50.11, 0.02, 0.06
2015-11-9 2:25:00, 600.59, 10.06, 50.11, 0.04, 0.06
2015-11-9 2:35:00, 600.59, 10.06, 50.11, 0.00, 0.05
2015-11-9 2:45:01, 600.59, 10.06, 50.11, 0.05, 0.05
2015-11-9 2:55:02, 605.47, 10.55, 50.98, 0.04, 0.05
2015-11-9 3:05:03, 595.70, 9.57, 49.23, 0.05, 0.05
2015-11-9 3:15:05, 600.59, 10.06, 50.11, 0.06, 0.05
2015-11-9 3:25:06, 595.70, 9.57, 49.23, 0.03, 0.05
2015-11-9 3:35:07, 595.70, 9.57, 49.23, 0.01, 0.04
2015-11-9 3:45:08, 605.47, 10.55, 50.98, 0.01, 0.04
2015-11-9 3:55:09, 595.70, 9.57, 49.23, 0.01, 0.04
2015-11-9 4:05:10, 595.70, 9.57, 49.23, 0.04, 0.04
2015-11-9 4:15:10, 600.59, 10.06, 50.11, 0.06, 0.04
2015-11-9 4:25:11, 600.59, 10.06, 50.11, 0.01, 0.04
2015-11-9 4:35:12, 600.59, 10.06, 50.11, 0.05, 0.04
2015-11-9 4:45:13, 605.47, 10.55, 50.98, 0.07, 0.04
2015-11-9 4:55:14, 605.47, 10.55, 50.98, 0.06, 0.04
2015-11-9 5:05:15, 600.59, 10.06, 50.11, 0.04, 0.04
2015-11-9 5:15:16, 600.59, 10.06, 50.11, 0.03, 0.04
2015-11-9 5:25:17, 595.70, 9.57, 49.23, 0.02, 0.04
2015-11-9 5:35:17, 600.59, 10.06, 50.11, 0.06, 0.04
2015-11-9 5:45:18, 600.59, 10.06, 50.11, 0.04, 0.04
2015-11-9 5:55:18, 600.59, 10.06, 50.11, 0.04, 0.04
2015-11-9 6:05:19, 600.59, 10.06, 50.11, 0.01, 0.04
2015-11-9 6:15:20, 595.70, 9.57, 49.23, 0.04, 0.04
2015-11-9 6:25:21, 605.47, 10.55, 50.98, 0.01, 0.04
2015-11-9 6:35:22, 605.47, 10.55, 50.98, 0.06, 0.04
2015-11-9 6:45:23, 595.70, 9.57, 49.23, 0.02, 0.04
2015-11-9 6:55:24, 595.70, 9.57, 49.23, 0.04, 0.04
2015-11-9 7:05:24, 605.47, 10.55, 50.98, 0.04, 0.04
2015-11-9 7:15:25, 600.59, 10.06, 50.11, 0.02, 0.04
2015-11-9 7:25:26, 605.47, 10.55, 50.98, 0.01, 0.03
2015-11-9 7:35:26, 605.47, 10.55, 50.98, 0.02, 0.03
2015-11-9 7:45:27, 605.47, 10.55, 50.98, 0.02, 0.03
2015-11-9 7:55:28, 600.59, 10.06, 50.11, 0.01, 0.03
2015-11-9 8:05:29, 600.59, 10.06, 50.11, 0.04, 0.03
2015-11-9 8:15:30, 600.59, 10.06, 50.11, 0.00, 0.03
2015-11-9 8:25:31, 605.47, 10.55, 50.98, 0.09, 0.03
2015-11-9 8:35:32, 600.59, 10.06, 50.11, 0.01, 0.03
2015-11-9 8:45:32, 600.59, 10.06, 50.11, 0.03, 0.03
2015-11-9 8:55:33, 605.47, 10.55, 50.98, 0.07, 0.04
2015-11-9 9:05:34, 600.59, 10.06, 50.11, 0.02, 0.03
2015-11-9 9:15:34, 605.47, 10.55, 50.98, 0.02, 0.03
2015-11-9 9:25:35, 600.59, 10.06, 50.11, 0.01, 0.03
2015-11-9 9:35:36, 600.59, 10.06, 50.11, 0.07, 0.04
2015-11-9 9:45:37, 600.59, 10.06, 50.11, 0.05, 0.04
2015-11-9 9:55:38, 610.35, 11.04, 51.86, 0.03, 0.04
2015-11-9 10:05:38, 605.47, 10.55, 50.98, 0.10, 0.04
2015-11-9 10:15:39, 610.35, 11.04, 51.86, 0.05, 0.04
2015-11-9 10:25:41, 610.35, 11.04, 51.86, 0.08, 0.05
2015-11-9 10:35:42, 610.35, 11.04, 51.86, 0.01, 0.04
2015-11-9 10:45:43, 605.47, 10.55, 50.98, 0.04, 0.04
2015-11-9 10:55:43, 610.35, 11.04, 51.86, 0.05, 0.04
2015-11-9 11:05:44, 610.35, 11.04, 51.86, 0.06, 0.05
2015-11-9 11:15:45, 610.35, 11.04, 51.86, 0.03, 0.04
