Group,Hour,Day,PM_mean,PM_sd,Time,,,,
TEAM2,1,11/8/2015,0.19,0.096471066,11/8/2015 1:34,,,,
TEAM2,1,11/9/2015,0.01,0.011690452,11/9/2015 1:26,,,,
TEAM2,1,11/10/2015,0.02,0.023166067,11/10/2015 1:34,,,,
TEAM2,2,11/4/2015,0.16,0.052408651,11/4/2015 2:34,,,,
TEAM2,2,11/5/2015,0.05,0.019407902,11/5/2015 2:28,,,,
TEAM2,2,11/6/2015,0,0,11/6/2015 2:30,,,,
TEAM2,2,11/7/2015,0,0,11/7/2015 2:32,,,,
TEAM2,2,11/8/2015,0.155,0.077114633,11/8/2015 2:34,,,,
TEAM2,2,11/9/2015,0.02,0.015055453,11/9/2015 2:26,,,,
TEAM2,2,11/10/2015,0,0.03250641,11/10/2015 2:34,,,,
TEAM2,3,11/4/2015,0.115,0.061562976,11/4/2015 3:34,,,,
TEAM2,3,11/5/2015,0.05,0.044907312,11/5/2015 3:28,,,,
TEAM2,3,11/6/2015,0,0,11/6/2015 3:30,,,,
TEAM2,3,11/7/2015,0,0.040824829,11/7/2015 3:32,,,,
TEAM2,3,11/8/2015,0.095,0.038815804,11/8/2015 3:34,,,,
TEAM2,3,11/9/2015,0.01,0.018708287,11/9/2015 3:26,,,,
TEAM2,3,11/10/2015,0.02,0.057850382,11/10/2015 3:34,,,,
TEAM2,4,11/4/2015,0.13,0.057183914,11/4/2015 4:34,,,,
TEAM2,4,11/5/2015,0.005,0.009831921,11/5/2015 4:28,,,,
TEAM2,4,11/6/2015,0.005,0.015491933,11/6/2015 4:30,,,,
TEAM2,4,11/7/2015,0,0,11/7/2015 4:32,,,,
TEAM2,4,11/8/2015,0.105,0.028809721,11/8/2015 4:34,,,,
TEAM2,4,11/9/2015,0.025,0.014719601,11/9/2015 4:26,,,,
TEAM2,4,11/10/2015,0.01,0.011690452,11/10/2015 4:34,,,,
TEAM2,5,11/4/2015,0.125,0.037638633,11/4/2015 5:34,,,,
TEAM2,5,11/5/2015,0,0.065012819,11/5/2015 5:28,,,,
TEAM2,5,11/6/2015,0,0.012247449,11/6/2015 5:30,,,,
TEAM2,5,11/7/2015,0,0.012247449,11/7/2015 5:32,,,,
TEAM2,5,11/8/2015,0.095,0.037237973,11/8/2015 5:34,,,,
TEAM2,5,11/9/2015,0.015,0.013662601,11/9/2015 5:26,,,,
TEAM2,5,11/10/2015,0,0,11/10/2015 5:34,,,,
TEAM2,6,11/4/2015,0.105,0.046904158,11/4/2015 6:34,,,,
TEAM2,6,11/5/2015,0.045,0.022509257,11/5/2015 6:28,,,,
TEAM2,6,11/6/2015,0,0.004082483,11/6/2015 6:30,,,,
TEAM2,6,11/7/2015,0,0.004082483,11/7/2015 6:32,,,,
TEAM2,6,11/8/2015,0.085,0.014719601,11/8/2015 6:34,,,,
TEAM2,6,11/9/2015,0.015,0.011690452,11/9/2015 6:26,,,,
TEAM2,6,11/10/2015,0,0.013416408,11/10/2015 6:30,,,,
TEAM2,7,11/4/2015,0.05,0.079099094,11/4/2015 7:34,,,,
TEAM2,7,11/5/2015,0.025,0.023166067,11/5/2015 7:28,,,,
TEAM2,7,11/6/2015,0,0.008164966,11/6/2015 7:31,,,,
TEAM2,7,11/7/2015,0.01,0.046904158,11/7/2015 7:32,,,,
TEAM2,7,11/8/2015,0.055,0.028284271,11/8/2015 7:34,,,,
TEAM2,7,11/9/2015,0.01,0.030166206,11/9/2015 7:26,,,,
TEAM2,7,11/10/2015,0,0.020412415,11/10/2015 7:25,,,,
TEAM2,8,11/4/2015,0.095,0.070427267,11/4/2015 8:34,,,,
TEAM2,8,11/5/2015,0.015,0.05329165,11/5/2015 8:29,,,,
